국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
일본,공용,94,47,45,0,"3,000",↓,양호,0,"4,500",↓,양호,0.7681,0.60,↑,양호,10.8%,150.0%,↓,양호,0.779,1.35,↓,미흡,0.019051,0.014638,0.095205,0.088354,0.015686,0.008740,예,0.000700,20250720_222930
일본,관광,96,48,34,0,"3,000",↓,양호,1,"4,500",↓,양호,0.8960,0.60,↑,양호,8.8%,150.0%,↓,양호,0.829,1.35,↓,미흡,0.016991,0.026757,0.098662,0.114786,0.016991,0.008211,예,0.000700,20250720_222930
일본,상용,94,47,30,0,"3,000",↓,양호,0,"4,500",↓,양호,0.3400,0.60,↓,미흡,6.9%,150.0%,↓,양호,0.825,1.35,↓,미흡,0.028811,0.018844,0.119409,0.101536,0.026678,0.017251,예,0.000700,20250720_222930
일본,유학연수,94,47,29,0,"3,000",↓,양호,0,"4,500",↓,양호,-0.0400,0.60,↓,미흡,11.5%,150.0%,↓,양호,0.730,1.35,↓,미흡,0.028537,0.028598,0.130953,0.140825,0.028537,0.028586,예,0.000700,20250720_222930
