월,총합,공용,상용,관광,유학연수,관광_비율
2025-06,31,5,6,14,6,45.2%
2025-07,30,4,7,14,5,46.7%
2025-08,29,4,6,13,6,44.8%
2025-09,30,4,6,14,6,46.7%
2025-10,31,4,6,15,6,48.4%
2025-11,28,4,6,13,5,46.4%
2025-12,28,4,6,13,5,46.4%
