국적,목적,날짜,예측입국자수
중국,관광,2025-06-01,395760
중국,관광,2025-07-01,390223
중국,관광,2025-08-01,386739
중국,관광,2025-09-01,384531
중국,관광,2025-10-01,382792
중국,관광,2025-11-01,381232
중국,관광,2025-12-01,378876
중국,관광,2026-01-01,375560
중국,관광,2026-02-01,371835
중국,관광,2026-03-01,366529
중국,관광,2026-04-01,361094
중국,관광,2026-05-01,356403
중국,유학연수,2025-06-01,10804
중국,유학연수,2025-07-01,12392
중국,유학연수,2025-08-01,22695
중국,유학연수,2025-09-01,20973
중국,유학연수,2025-10-01,10670
중국,유학연수,2025-11-01,7804
중국,유학연수,2025-12-01,6092
중국,유학연수,2026-01-01,8764
중국,유학연수,2026-02-01,21062
중국,유학연수,2026-03-01,26285
중국,유학연수,2026-04-01,16200
중국,유학연수,2026-05-01,18851
중국,공용,2025-06-01,405
중국,공용,2025-07-01,433
중국,공용,2025-08-01,495
중국,공용,2025-09-01,560
중국,공용,2025-10-01,589
중국,공용,2025-11-01,476
중국,공용,2025-12-01,290
중국,공용,2026-01-01,176
중국,공용,2026-02-01,213
중국,공용,2026-03-01,319
중국,공용,2026-04-01,396
중국,공용,2026-05-01,413
중국,상용,2025-06-01,3909
중국,상용,2025-07-01,3893
중국,상용,2025-08-01,3869
중국,상용,2025-09-01,3830
중국,상용,2025-10-01,3792
중국,상용,2025-11-01,3752
중국,상용,2025-12-01,3721
중국,상용,2026-01-01,3726
중국,상용,2026-02-01,3797
중국,상용,2026-03-01,3829
중국,상용,2026-04-01,3848
중국,상용,2026-05-01,3875
