국적,목적,MAE,RMSE,MAPE
중국,관광,33339.26,53976.94,491.93
중국,유학연수,4247.63,6411.24,86.63
중국,공용,79.56,103.57,332.91
중국,상용,1102.86,1997.37,59.63
