,MAE,MSE,RMSE,R²,MAPE,predictions
AttentionLSTM,1242.2507391984896,29691177.10460205,5448.961103238125,0.304210824762868,193.72419381850023,[0. 0. 0. ... 0. 0. 0.]
CNN-LSTM,726.2900379790105,9209297.075514555,3034.682368142431,0.7841874306932471,419.20547860154204,[0. 0. 0. ... 0. 0. 0.]
LSTM,607.9211757459633,7288151.72249598,2699.6577046907223,0.8292079475955648,999.9,[80.99718 80.99718 80.99718 ... 80.99718 80.99718 80.99718]
GRU,688.2392376034275,6034173.658182437,2456.4555070634674,0.85859392849017,999.9,[260.9751 260.9751 260.9751 ... 260.9751 260.9751 260.9751]
BiLSTM,911.7999607562894,5568299.474579822,2359.724448866821,0.8695113203076501,999.9,[568.5217 568.5217 568.5217 ... 568.5217 568.5217 568.5217]
Transformer,1558.840686116744,16593294.353073591,4073.4867562167906,0.6111493137601971,999.9,[861.67633 783.3466  760.8909  ... 729.1083  729.1083  729.1083 ]
