모델,가중치
AttentionLSTM,0.047771124545036875
CNN-LSTM,0.14669415306992942
LSTM,0.06876545858142304
GRU,0.07372572597661597
BiLSTM,0.07561255486980226
Transformer,0.03735408377933391
