국적,목적,날짜,입국자수
루마니아,공용,2021-09-01,2.0
루마니아,공용,2021-10-01,2.0
루마니아,공용,2021-11-01,0.0
루마니아,공용,2021-12-01,3.0
루마니아,공용,2022-01-01,3.0
루마니아,공용,2022-02-01,1.0
루마니아,공용,2022-03-01,3.0
루마니아,공용,2022-04-01,3.0
루마니아,공용,2022-05-01,5.0
루마니아,공용,2022-06-01,1.0
루마니아,공용,2022-07-01,4.0
루마니아,공용,2022-08-01,2.0
루마니아,공용,2022-09-01,7.0
루마니아,공용,2022-10-01,2.0
루마니아,공용,2022-11-01,3.0
루마니아,공용,2022-12-01,7.0
루마니아,공용,2023-01-01,14.0
루마니아,공용,2023-02-01,3.0
루마니아,공용,2023-03-01,5.0
루마니아,공용,2023-04-01,7.0
루마니아,공용,2023-05-01,7.0
루마니아,공용,2023-06-01,0.0
루마니아,공용,2023-07-01,3.0
루마니아,공용,2023-08-01,3.0
루마니아,공용,2023-09-01,6.0
루마니아,공용,2023-10-01,10.0
루마니아,공용,2023-11-01,6.0
루마니아,공용,2023-12-01,2.0
루마니아,공용,2024-01-01,3.0
루마니아,공용,2024-02-01,1.0
루마니아,공용,2024-03-01,10.0
루마니아,공용,2024-04-01,47.0
루마니아,공용,2024-05-01,8.0
루마니아,공용,2024-06-01,6.0
루마니아,공용,2024-07-01,2.0
루마니아,공용,2024-08-01,2.0
루마니아,공용,2024-09-01,51.0
루마니아,공용,2024-10-01,2.0
루마니아,공용,2024-11-01,19.0
루마니아,공용,2024-12-01,9.0
루마니아,공용,2025-01-01,5.0
루마니아,공용,2025-02-01,11.0
루마니아,공용,2025-03-01,9.0
루마니아,공용,2025-04-01,13.0
루마니아,공용,2025-05-01,9.0
루마니아,관광,2005-01-01,117.0
루마니아,관광,2005-02-01,70.0
루마니아,관광,2005-03-01,141.0
루마니아,관광,2005-04-01,117.0
루마니아,관광,2005-05-01,127.0
루마니아,관광,2005-06-01,114.0
루마니아,관광,2005-07-01,170.0
루마니아,관광,2005-08-01,148.0
루마니아,관광,2005-09-01,138.0
루마니아,관광,2005-10-01,202.0
루마니아,관광,2005-11-01,142.0
루마니아,관광,2005-12-01,168.0
루마니아,관광,2006-01-01,120.0
루마니아,관광,2006-02-01,137.0
루마니아,관광,2006-03-01,147.0
루마니아,관광,2006-04-01,166.0
루마니아,관광,2006-05-01,189.0
루마니아,관광,2006-06-01,150.0
루마니아,관광,2006-07-01,128.0
루마니아,관광,2006-08-01,188.0
루마니아,관광,2006-09-01,303.0
루마니아,관광,2006-10-01,213.0
루마니아,관광,2006-11-01,142.0
루마니아,관광,2006-12-01,97.0
루마니아,관광,2007-01-01,107.0
루마니아,관광,2007-02-01,96.0
루마니아,관광,2007-03-01,145.0
