국적,목적,날짜,입국자수
이탈리아,유학연수,2010-06-01,9.0
이탈리아,유학연수,2010-07-01,3.0
이탈리아,유학연수,2010-08-01,40.0
이탈리아,유학연수,2010-09-01,12.0
이탈리아,유학연수,2010-10-01,3.0
이탈리아,유학연수,2010-11-01,19.0
이탈리아,유학연수,2010-12-01,14.0
이탈리아,유학연수,2011-01-01,14.0
이탈리아,유학연수,2011-02-01,19.0
이탈리아,유학연수,2011-03-01,4.0
이탈리아,유학연수,2011-04-01,2.0
이탈리아,유학연수,2011-05-01,10.0
이탈리아,유학연수,2011-06-01,7.0
이탈리아,유학연수,2011-07-01,9.0
이탈리아,유학연수,2011-08-01,34.0
이탈리아,유학연수,2011-09-01,16.0
이탈리아,유학연수,2011-10-01,4.0
이탈리아,유학연수,2011-11-01,19.0
이탈리아,유학연수,2011-12-01,7.0
이탈리아,유학연수,2012-01-01,16.0
이탈리아,유학연수,2012-02-01,15.0
이탈리아,유학연수,2012-03-01,5.0
이탈리아,유학연수,2012-04-01,6.0
이탈리아,유학연수,2012-05-01,12.0
이탈리아,유학연수,2012-06-01,11.0
이탈리아,유학연수,2012-07-01,11.0
이탈리아,유학연수,2012-08-01,61.0
이탈리아,유학연수,2012-09-01,10.0
이탈리아,유학연수,2012-10-01,11.0
이탈리아,유학연수,2012-11-01,11.0
이탈리아,유학연수,2012-12-01,12.0
이탈리아,유학연수,2013-01-01,6.0
이탈리아,유학연수,2013-02-01,35.0
이탈리아,유학연수,2013-03-01,7.0
이탈리아,유학연수,2013-04-01,6.0
이탈리아,유학연수,2013-05-01,14.0
이탈리아,유학연수,2013-06-01,4.0
이탈리아,유학연수,2013-07-01,12.0
이탈리아,유학연수,2013-08-01,66.0
이탈리아,유학연수,2013-09-01,15.0
이탈리아,유학연수,2013-10-01,7.0
이탈리아,유학연수,2013-11-01,21.0
이탈리아,유학연수,2013-12-01,11.0
이탈리아,유학연수,2014-01-01,15.0
이탈리아,유학연수,2014-02-01,40.0
이탈리아,유학연수,2014-03-01,14.0
이탈리아,유학연수,2014-04-01,4.0
이탈리아,유학연수,2014-05-01,13.0
이탈리아,유학연수,2014-06-01,10.0
이탈리아,유학연수,2014-07-01,12.0
이탈리아,유학연수,2014-08-01,85.0
이탈리아,유학연수,2014-09-01,9.0
이탈리아,유학연수,2014-10-01,6.0
이탈리아,유학연수,2014-11-01,16.0
이탈리아,유학연수,2014-12-01,8.0
이탈리아,유학연수,2015-01-01,21.0
이탈리아,유학연수,2015-02-01,50.0
이탈리아,유학연수,2015-03-01,16.0
이탈리아,유학연수,2015-04-01,12.0
이탈리아,유학연수,2015-05-01,11.0
이탈리아,유학연수,2015-06-01,9.0
이탈리아,유학연수,2015-07-01,13.0
이탈리아,유학연수,2015-08-01,106.0
이탈리아,유학연수,2015-09-01,19.0
이탈리아,유학연수,2015-10-01,12.0
이탈리아,유학연수,2015-11-01,36.0
이탈리아,유학연수,2015-12-01,31.0
이탈리아,유학연수,2016-01-01,27.0
이탈리아,유학연수,2016-02-01,71.0
이탈리아,유학연수,2016-03-01,14.0
이탈리아,유학연수,2016-04-01,10.0
이탈리아,유학연수,2016-05-01,21.0
이탈리아,유학연수,2016-06-01,14.0
이탈리아,유학연수,2016-07-01,26.0
이탈리아,유학연수,2016-08-01,124.0
이탈리아,유학연수,2016-09-01,16.0
이탈리아,유학연수,2016-10-01,13.0
이탈리아,유학연수,2016-11-01,46.0
이탈리아,유학연수,2016-12-01,25.0
이탈리아,유학연수,2017-01-01,25.0
이탈리아,유학연수,2017-02-01,97.0
이탈리아,유학연수,2017-03-01,17.0
이탈리아,유학연수,2017-04-01,8.0
이탈리아,유학연수,2017-05-01,44.0
이탈리아,유학연수,2017-06-01,24.0
이탈리아,유학연수,2017-07-01,25.0
이탈리아,유학연수,2017-08-01,173.0
이탈리아,유학연수,2017-09-01,10.0
이탈리아,유학연수,2017-10-01,34.0
이탈리아,유학연수,2017-11-01,52.0
이탈리아,유학연수,2017-12-01,44.0
