국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
중국,공용,94,47,50,0,"3,000",↓,양호,0,"4,500",↓,양호,0.7102,0.60,↑,양호,19.3%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.020048,0.008400,0.092802,0.072064,0.019347,0.008400,아니오,0.001000,20250720_210755
중국,관광,96,48,36,0,"3,000",↓,양호,0,"4,500",↓,양호,0.8658,0.60,↑,양호,6.7%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.027997,0.011475,0.127714,0.081584,0.024488,0.006927,예,0.000700,20250720_210755
중국,상용,94,47,32,0,"3,000",↓,양호,0,"4,500",↓,양호,0.4237,0.60,↓,미흡,9.8%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.027280,0.021310,0.117660,0.107405,0.027280,0.017188,예,0.000700,20250720_210755
중국,유학연수,94,47,50,0,"3,000",↓,양호,0,"4,500",↓,양호,0.4090,0.60,↓,미흡,9.4%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.029740,0.032809,0.135069,0.146835,0.029570,0.031432,아니오,0.001000,20250720_210755
