국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률
그리스,공용,2009,6,2,여름,0,54,0.0,0.0,0.6931471805599453,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2009,7,3,여름,0,55,0.0,0.0,0.0,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2009,8,3,여름,0,56,0.0,0.0,0.0,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2009,9,3,가을,0,57,0.0,0.0,0.0,1.0986122886681098,0.0,0.08004270767353643,-100.0
그리스,공용,2009,10,4,가을,0,58,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2009,11,4,가을,0,59,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2009,12,4,겨울,0,60,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2010,1,1,겨울,0,61,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2010,2,1,겨울,0,62,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2010,3,1,봄,0,63,0.6931471805599453,0.0,0.0,0.6931471805599453,0.2876820724517809,0.08004270767353643,0.0
그리스,공용,2010,4,2,봄,0,64,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.08004270767353643,0.0
그리스,공용,2010,5,2,봄,0,65,0.6931471805599453,0.0,0.0,0.0,0.5108256237659906,0.1541506798272583,0.0
그리스,공용,2010,6,2,여름,0,66,0.0,0.6931471805599453,0.6931471805599453,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2010,7,3,여름,0,67,0.0,0.0,0.0,0.0,0.2876820724517809,0.1541506798272583,0.0
그리스,공용,2010,8,3,여름,0,68,0.0,0.0,0.6931471805599453,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2010,9,3,가을,0,69,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2010,10,4,가을,0,70,0.6931471805599453,0.0,0.0,0.0,0.2876820724517809,0.22314355131420976,0.0
그리스,공용,2010,11,4,가을,0,71,0.6931471805599453,0.6931471805599453,0.0,0.0,0.5108256237659906,0.2876820724517809,0.0
그리스,공용,2010,12,4,겨울,0,72,0.0,0.6931471805599453,0.0,0.0,0.5108256237659906,0.2876820724517809,0.0
그리스,공용,2011,1,1,겨울,0,73,0.0,0.0,0.6931471805599453,0.0,0.2876820724517809,0.2876820724517809,0.0
그리스,공용,2011,2,1,겨울,0,74,0.0,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.0
그리스,공용,2011,3,1,봄,0,75,0.0,0.0,0.0,0.6931471805599453,0.0,0.22314355131420976,-100.0
그리스,공용,2011,4,2,봄,0,76,0.0,0.0,0.0,0.0,0.0,0.22314355131420976,0.0
그리스,공용,2011,5,2,봄,0,77,0.0,0.0,0.0,0.6931471805599453,0.0,0.1541506798272583,-100.0
그리스,공용,2011,6,2,여름,0,78,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2011,7,3,여름,0,79,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2011,8,3,여름,0,80,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2011,9,3,가을,0,81,0.0,0.0,0.0,0.0,0.0,0.1541506798272583,0.0
그리스,공용,2011,10,4,가을,0,82,0.0,0.0,0.0,0.6931471805599453,0.0,0.08004270767353643,-100.0
그리스,공용,2011,11,4,가을,0,83,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,-100.0
그리스,공용,2011,12,4,겨울,0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,1,1,겨울,0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,2,1,겨울,0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,3,1,봄,0,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,4,2,봄,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,5,2,봄,0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,6,2,여름,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,7,3,여름,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,8,3,여름,0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
그리스,공용,2012,9,3,가을,0,93,0.6931471805599453,0.0,0.0,0.0,0.2876820724517809,0.08004270767353643,0.0
그리스,공용,2012,10,4,가을,0,94,0.0,0.6931471805599453,0.0,0.0,0.2876820724517809,0.08004270767353643,0.0
그리스,공용,2012,11,4,가을,0,95,0.0,0.0,0.0,0.0,0.2876820724517809,0.08004270767353643,0.0
그리스,공용,2012,12,4,겨울,0,96,0.0,0.0,0.6931471805599453,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2013,1,1,겨울,0,97,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2013,2,1,겨울,0,98,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2013,3,1,봄,0,99,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
그리스,공용,2013,4,2,봄,0,100,0.0,0.0,0.0,0.0,0.0,0.08004270767353643,0.0
