country,purpose,problem_type,zero_ratio,cv,data_size
그리스,공용,높은_0값_비율,56.734693877551024,1.7207666831110888,245
그리스,유학연수,높은_0값_비율,46.53061224489796,1.9097497397808378,245
노르웨이,공용,높은_0값_비율,57.55102040816327,1.673723514115189,245
대만,상용,높은_변동성,0.0,2.401331092269573,245
덴마크,공용,높은_0값_비율,44.48979591836735,1.4302220246712316,245
루마니아,공용,높은_0값_비율,45.30612244897959,2.2128487619589894,245
미상,공용,높은_0값_비율,82.44897959183673,3.5311502130912107,245
미상,상용,높은_0값_비율,43.26530612244898,1.3745397252399292,245
미상,유학연수,높은_0값_비율,76.73469387755102,2.4307228336662514,245
베네수엘라,공용,높은_0값_비율,48.16326530612245,1.5635042815850266,245
불가리아,공용,높은_0값_비율,57.14285714285714,2.026206948683715,245
스위스,공용,높은_0값_비율,48.97959183673469,1.362778572724687,245
아르헨티나,공용,높은_0값_비율,59.183673469387756,2.16234529810707,245
에콰도르,공용,높은_0값_비율,54.285714285714285,2.773077645220712,245
에콰도르,상용,높은_0값_비율,64.89795918367346,2.059873896296462,245
요르단,공용,높은_0값_비율,48.57142857142857,3.3170977216418835,245
이라크,공용,높은_0값_비율,46.93877551020408,2.076333991024928,245
이스라엘,공용,높은_0값_비율,49.38775510204081,1.8497041194751962,245
칠레,공용,높은_0값_비율,68.9795918367347,2.651360176924548,245
쿠바,공용,높은_0값_비율,80.81632653061224,3.095988339311442,245
쿠바,상용,높은_0값_비율,57.95918367346938,1.9007790680596652,245
쿠바,유학연수,높은_0값_비율,82.44897959183673,2.8017329776237507,245
키리바시,공용,높은_0값_비율,84.08163265306122,3.3609680982385197,245
키리바시,상용,높은_0값_비율,99.59183673469387,15.652475842498527,245
키리바시,유학연수,높은_0값_비율,94.6938775510204,5.8979295571584105,245
폴란드,공용,높은_0값_비율,53.87755102040816,1.9423603452345137,245
피지,공용,높은_0값_비율,70.61224489795919,1.9392665322326434,245
피지,상용,높은_0값_비율,85.71428571428571,2.54791510759015,245
피지,유학연수,높은_0값_비율,47.3469387755102,1.4280407691251047,245
홍콩,공용,높은_0값_비율,44.08163265306123,1.2622786232792302,245
