국적,목적,data_size,mean,std,min,max,zero_count,zero_ratio,cv,quality_grade,problem_type
그리스,공용,245,0.889795918367347,1.5311311710947648,0,10,139,56.734693877551024,1.7207666831110888,매우나쁨,높은_0값_비율
그리스,관광,245,376.9387755102041,154.06444363829198,30,1094,0,0.0,0.4087253783582191,좋음,정상
그리스,상용,245,24.13061224489796,12.279167418537481,2,67,0,0.0,0.5088626551998787,좋음,정상
그리스,유학연수,245,1.6979591836734693,3.2426771091788917,0,25,114,46.53061224489796,1.9097497397808378,매우나쁨,높은_0값_비율
나이지리아,공용,245,6.395918367346939,9.550254463687219,0,81,34,13.877551020408163,1.4931795428228263,좋음,정상
나이지리아,관광,245,88.31020408163265,69.95608764595596,0,565,7,2.857142857142857,0.7921631296570166,좋음,정상
나이지리아,상용,245,95.63673469387756,57.272739395096764,0,239,3,1.2244897959183674,0.5988571188510395,좋음,정상
나이지리아,유학연수,245,15.534693877551021,17.3792031243631,0,99,16,6.530612244897959,1.1187348306539568,좋음,정상
네덜란드,공용,245,3.7714285714285714,4.370729766128832,0,19,57,23.26530612244898,1.1589056198068874,좋음,정상
네덜란드,관광,245,1670.0408163265306,1005.9735387286695,2,5959,0,0.0,0.6023646421657152,좋음,정상
네덜란드,상용,245,40.06122448979592,21.664173192942858,3,98,0,0.0,0.5407766105217524,좋음,정상
네덜란드,유학연수,245,48.70612244897959,75.1928351797031,0,456,5,2.0408163265306123,1.5438066386514087,좋음,정상
노르웨이,공용,245,1.2612244897959184,2.110941085149361,0,15,141,57.55102040816327,1.673723514115189,매우나쁨,높은_0값_비율
노르웨이,관광,245,696.5551020408163,360.5343285656337,0,1890,1,0.40816326530612246,0.5175962784700231,좋음,정상
노르웨이,상용,245,172.5061224489796,160.98886583046166,0,651,1,0.40816326530612246,0.9332356645954738,좋음,정상
노르웨이,유학연수,245,15.142857142857142,21.22923286105394,0,117,17,6.938775510204081,1.4019304719563923,좋음,정상
뉴질랜드,공용,245,3.0040816326530613,3.9009225045816303,0,20,64,26.122448979591837,1.2985407793783958,좋음,정상
뉴질랜드,관광,245,1736.4285714285713,886.7541982966426,2,4484,0,0.0,0.5106770372749073,좋음,정상
뉴질랜드,상용,245,29.073469387755104,17.53809408292586,0,96,3,1.2244897959183674,0.6032336164982219,좋음,정상
뉴질랜드,유학연수,245,2.3469387755102042,3.0778892890655434,0,19,73,29.795918367346943,1.3114484796887966,좋음,정상
대만,공용,245,9.546938775510204,7.278620783399234,0,56,12,4.8979591836734695,0.7624036305826474,좋음,정상
대만,관광,245,49235.39591836735,35924.897928177656,31,150603,0,0.0,0.729655916400904,좋음,정상
대만,상용,245,86.34693877551021,207.3475888039299,6,2525,0,0.0,2.401331092269573,주의,높은_변동성
대만,유학연수,245,188.31020408163266,230.42624815344482,10,1179,0,0.0,1.2236524795733046,좋음,정상
대양주,공용,245,42.179591836734694,26.627061450187558,0,155,2,0.8163265306122449,0.6312783099763839,좋음,정상
대양주,관광,245,10509.648979591837,6224.499180529373,27,39062,0,0.0,0.5922651834153945,좋음,정상
대양주,상용,245,302.7061224489796,197.85085913981268,0,969,1,0.40816326530612246,0.6536070613278063,좋음,정상
대양주,유학연수,245,23.706122448979592,28.258528439660633,0,135,3,1.2244897959183674,1.1920350323203952,좋음,정상
