국적,목적,MAE,RMSE,MAPE,신뢰도
일본,관광,253725.31,259500.6,91.72,낮음 (신뢰 어려움)
일본,유학연수,1042.23,1335.94,79.33,낮음 (신뢰 어려움)
일본,공용,188.26,235.41,79.9,낮음 (신뢰 어려움)
일본,상용,994.63,1008.75,79.37,낮음 (신뢰 어려움)
일본,관광_Prophet,127376.53,131983.27,45.45,보통 (주의 필요)
일본,유학연수_Prophet,289.4,426.19,22.54,높음
일본,공용_Prophet,101.58,144.21,40.09,보통 (주의 필요)
일본,상용_Prophet,232.9,253.49,18.96,높음
