일별_모델,일별_MAPE,일별_R2,월별_모델,월별_MAPE,월별_R2
RandomForest,4.238642283610006,0.9607191284400736,LinearRegression,13.277082021925986,0.8187194756451652
GradientBoosting,4.665918275117362,0.9717602387429227,XGBoost,15.186181128956191,0.7134658776926748
XGBoost,4.835521758114995,0.9632297914552922,GradientBoosting,15.29013611217068,0.7144023791529636
LinearRegression,8.351777031772983,0.901662118047567,RandomForest,18.166719164381018,0.6172120863881226
