국적,목적,데이터크기,학습에포크,최종학습손실,최종학습MAE,최고학습손실,최고학습MAE,검증데이터유무,최종검증손실,최종검증MAE,최고검증손실,최고검증MAE,손실개선률,MAE개선률,수렴속도,생성시간
중국,공용,217,64,0.028344,0.128579,0.024627,0.120401,있음,0.020465,0.114878,0.017653,0.102608,98.5%,88.5%,0.64,20250717_135351
중국,상용,217,17,0.063798,0.198832,0.060493,0.190577,있음,0.008214,0.082652,0.001196,0.025069,96.7%,81.9%,0.17,20250717_135917
중국,유학연수,217,16,0.151584,0.304369,0.151584,0.304369,있음,0.081481,0.203016,0.075503,0.202611,94.6%,77.5%,0.16,20250717_135925
