국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
중국,공용,94,47,50,0,"3,000",↓,양호,0,"4,500",↓,양호,0.6124,0.60,↑,양호,21.7%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.017537,0.014846,0.086180,0.095752,0.015539,0.010125,아니오,0.001000,20250720_210110
중국,관광,96,48,33,0,"3,000",↓,양호,0,"4,500",↓,양호,0.9240,0.60,↑,양호,5.5%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.029616,0.007624,0.127319,0.069733,0.023296,0.004439,예,0.000700,20250720_210110
중국,상용,94,47,25,0,"3,000",↓,양호,0,"4,500",↓,양호,0.6234,0.60,↑,양호,7.3%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.053091,0.012650,0.176436,0.095850,0.053091,0.011931,예,0.000700,20250720_210110
중국,유학연수,94,47,46,0,"3,000",↓,양호,0,"4,500",↓,양호,0.4029,0.60,↓,미흡,9.5%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.031203,0.032345,0.143031,0.154995,0.026347,0.031406,예,0.000700,20250720_210110
