월,총합,공용,상용,관광,유학연수,관광_비율
2026-01,34,5,7,13,9,38.2%
2026-02,33,4,8,12,9,36.4%
2026-03,34,5,8,12,9,35.3%
2026-04,34,5,8,12,9,35.3%
2026-05,32,5,8,11,8,34.4%
2026-06,31,4,7,12,8,38.7%
2026-07,33,5,8,12,8,36.4%
2026-08,31,4,7,12,8,38.7%
2026-09,32,4,8,12,8,37.5%
2026-10,32,4,8,12,8,37.5%
2026-11,31,4,8,11,8,35.5%
2026-12,32,4,7,12,9,37.5%
