국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
일본,공용,94,47,46,0,"3,000",↓,양호,0,"4,500",↓,양호,0.7263,0.60,↑,양호,11.9%,150.0%,↓,양호,0.638,1.35,↓,미흡,0.017870,0.015587,0.093973,0.097740,0.017216,0.008829,예,0.000700,20250720_230707
일본,관광,96,48,15,2,"3,000",↓,양호,2,"4,500",↓,양호,0.3092,0.60,↓,미흡,31.7%,150.0%,↓,양호,0.041,1.35,↓,미흡,0.077237,0.093029,0.216281,0.293605,0.077237,0.050693,예,0.000700,20250720_230707
일본,상용,94,47,40,0,"3,000",↓,양호,0,"4,500",↓,양호,0.2841,0.60,↓,미흡,6.9%,150.0%,↓,양호,0.854,1.35,↓,미흡,0.018073,0.025944,0.085472,0.111216,0.016792,0.018248,예,0.000700,20250720_230707
일본,유학연수,94,47,27,0,"3,000",↓,양호,0,"4,500",↓,양호,-0.0820,0.60,↓,미흡,10.8%,150.0%,↓,양호,0.712,1.35,↓,미흡,0.032246,0.031564,0.135479,0.148438,0.032246,0.029382,예,0.000700,20250720_230707
