월,총합,공용,상용,관광,유학연수,관광_비율
2025-06,28,5,7,10,6,35.7%
2025-07,27,5,7,9,6,33.3%
2025-08,26,5,6,9,6,34.6%
2025-09,27,4,6,10,7,37.0%
2025-10,28,5,7,10,6,35.7%
2025-11,27,4,7,10,6,37.0%
2025-12,24,4,6,9,5,37.5%
