국적,목적,날짜,예측입국자수
일본,관광,2025-06-01,267399
일본,관광,2025-07-01,263583
일본,관광,2025-08-01,260207
일본,관광,2025-09-01,257033
일본,관광,2025-10-01,253490
일본,관광,2025-11-01,249924
일본,관광,2025-12-01,246517
일본,관광,2026-01-01,242400
일본,관광,2026-02-01,237760
일본,관광,2026-03-01,233840
일본,관광,2026-04-01,231662
일본,관광,2026-05-01,228740
일본,유학연수,2025-06-01,581
일본,유학연수,2025-07-01,946
일본,유학연수,2025-08-01,1786
일본,유학연수,2025-09-01,707
일본,유학연수,2025-10-01,25
일본,유학연수,2025-11-01,187
일본,유학연수,2025-12-01,425
일본,유학연수,2026-01-01,1109
일본,유학연수,2026-02-01,1945
일본,유학연수,2026-03-01,1115
일본,유학연수,2026-04-01,650
일본,유학연수,2026-05-01,845
일본,공용,2025-06-01,163
일본,공용,2025-07-01,149
일본,공용,2025-08-01,196
일본,공용,2025-09-01,328
일본,공용,2025-10-01,469
일본,공용,2025-11-01,894
일본,공용,2025-12-01,297
일본,공용,2026-01-01,237
일본,공용,2026-02-01,191
일본,공용,2026-03-01,173
일본,공용,2026-04-01,115
일본,공용,2026-05-01,90
일본,상용,2025-06-01,1316
일본,상용,2025-07-01,1323
일본,상용,2025-08-01,1341
일본,상용,2025-09-01,1360
일본,상용,2025-10-01,1379
일본,상용,2025-11-01,1400
일본,상용,2025-12-01,1422
일본,상용,2026-01-01,1445
일본,상용,2026-02-01,1459
일본,상용,2026-03-01,1472
일본,상용,2026-04-01,1485
일본,상용,2026-05-01,1505
