월,총합,공용,상용,관광,유학연수,관광_비율
2025-08,25,4,5,8,8,32.0%
2025-09,25,4,5,8,8,32.0%
2025-10,24,4,5,8,7,33.3%
2025-11,24,4,5,8,7,33.3%
2025-12,25,4,5,8,8,32.0%
2026-01,23,3,5,8,7,34.8%
2026-02,24,4,5,8,7,33.3%
