국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
베트남,공용,94,47,40,1,"3,000",↓,양호,1,"4,500",↓,양호,0.0211,0.60,↓,미흡,31.6%,150.0%,↓,양호,0.192,1.35,↓,미흡,0.034470,0.058870,0.142844,0.194408,0.031292,0.033558,예,0.000700,20250720_234529
베트남,관광,96,48,14,1,"3,000",↓,양호,1,"4,500",↓,양호,0.0485,0.60,↓,미흡,17.1%,150.0%,↓,양호,0.118,1.35,↓,미흡,0.055290,0.054928,0.175299,0.199795,0.052338,0.036223,예,0.000700,20250720_234529
베트남,상용,94,47,41,1,"3,000",↓,양호,1,"4,500",↓,양호,0.2093,0.60,↓,미흡,22.8%,150.0%,↓,양호,0.407,1.35,↓,미흡,0.015856,0.015739,0.077255,0.098848,0.015856,0.011303,예,0.000700,20250720_234529
베트남,유학연수,94,47,50,0,"3,000",↓,양호,0,"4,500",↓,양호,-0.0666,0.60,↓,미흡,10.0%,150.0%,↓,양호,0.638,1.35,↓,미흡,0.022561,0.013956,0.122364,0.099412,0.020198,0.013491,아니오,0.001000,20250720_234529
