국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,연월,계절_코드,월_sin,월_cos,분기_sin,분기_cos,연도_정규화,선형트렌드,제곱트렌드,입국자수_6개월전,입국자수_24개월전,증감률_1개월,증감률_3개월,증감률_12개월,국적_빈도,국적_로그빈도,목적_빈도,국적_평균입국자수,목적_평균입국자수,국적_인코딩,목적_인코딩,계절_인코딩,국적목적_조합,국적목적_빈도,계절목적_조합,월국적_상호작용,연도국적_상호작용,국적_평균,국적_표준편차,국적_최소,국적_최대,국적_중앙값,목적_평균,목적_표준편차,목적_최소,목적_최대,계절_평균,계절_표준편차,앙상블예측,RandomForest_예측,XGBoost_예측,GradientBoosting_예측,Ridge_예측,Lasso_예측
태국,상용,2026,8,3,여름,0,260,64.66666666666667,61.43333333333334,58.2,42.666666666666664,67.77777777777777,64.77777777777779,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,58.0,,0.05178857447944475,0.10923423423423426,0.5038167938931299,48,3.8918202981106265,180,5410.644097222222,373.4101851851852,52,2,3,태국_상용,12,여름_상용,384,97248,5410.644097222222,10043.429966232909,50.666666666666664,36286.333333333336,176.875,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,130,65,77,69,7132,3418
태국,유학연수,2026,8,3,여름,0,260,446.6666666666667,424.3333333333333,402.0,360.0,228.44444444444443,148.19444444444446,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,357.25,,0.052507836990595705,0.11083540115798185,0.2400738688827332,48,3.8918202981106265,180,5410.644097222222,1424.4648148148149,52,3,3,태국_유학연수,12,여름_유학연수,384,97248,5410.644097222222,10043.429966232909,50.666666666666664,36286.333333333336,176.875,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,349,297,245,268,7213,3459
말레이시아,공용,2026,8,3,여름,0,260,10.0,9.5,9.0,6.333333333333333,8.555555555555555,7.583333333333333,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,9.25,,0.047619047619047616,0.1,0.5000000000000001,48,3.8918202981106265,180,4232.541666666667,273.81898148148144,11,0,3,말레이시아_공용,12,여름_공용,384,97248,4232.541666666667,7878.866471116315,5.25,26265.333333333332,82.66666666666666,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,72,11,9,8,6847,3338
말레이시아,관광,2026,8,3,여름,0,260,8603.0,8172.849999999999,7742.7,5412.333333333333,8617.333333333334,12371.083333333334,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,15838.0,,0.052625139927941,0.11109676252954016,0.589408866995074,48,3.8918202981106265,180,4232.541666666667,44945.81712962963,11,1,3,말레이시아_관광,12,여름_관광,384,97248,4232.541666666667,7878.866471116315,5.25,26265.333333333332,82.66666666666666,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,8786,8720,8171,8897,18064,12226
말레이시아,상용,2026,8,3,여름,0,260,71.66666666666667,68.08333333333333,64.5,41.666666666666664,75.33333333333334,67.63888888888889,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,76.0,,0.05186972255729809,0.10941475826972018,0.7031250000000002,48,3.8918202981106265,180,4232.541666666667,373.4101851851852,11,2,3,말레이시아_상용,12,여름_상용,384,97248,4232.541666666667,7878.866471116315,5.25,26265.333333333332,82.66666666666666,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,136,72,86,78,6942,3416
말레이시아,유학연수,2026,8,3,여름,0,260,675.0,641.25,607.5,511.0,278.4444444444444,155.08333333333331,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,539.5,,0.05254963020630596,0.11092851273623665,0.3203125,48,3.8918202981106265,180,4232.541666666667,1424.4648148148149,11,3,3,말레이시아_유학연수,12,여름_유학연수,384,97248,4232.541666666667,7878.866471116315,5.25,26265.333333333332,82.66666666666666,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,420,362,336,373,6960,3388
싱가포르,공용,2026,8,3,여름,0,260,10.0,9.5,9.0,5.333333333333333,13.444444444444443,10.583333333333334,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,12.5,,0.047619047619047616,0.1,0.736842105263158,48,3.8918202981106265,180,6122.14236111111,273.81898148148144,28,0,3,싱가포르_공용,12,여름_공용,384,97248,6122.14236111111,12378.40829217557,6.25,54384.333333333336,146.91666666666669,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,74,12,13,12,6875,3359
싱가포르,관광,2026,8,3,여름,0,260,11554.333333333334,10976.616666666667,10398.900000000001,6441.0,15644.111111111111,18710.25,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,9691.0,,0.05262678450240418,0.1111004272476978,0.7937493532029392,48,3.8918202981106265,180,6122.14236111111,44945.81712962963,28,1,3,싱가포르_관광,12,여름_관광,384,97248,6122.14236111111,12378.40829217557,6.25,54384.333333333336,146.91666666666669,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,14661,14618,13624,14622,27007,21303
싱가포르,상용,2026,8,3,여름,0,260,176.0,167.2,158.4,152.66666666666666,174.33333333333334,193.58333333333334,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,132.5,,0.052318668252080924,0.11041405269761602,0.15184381778741873,48,3.8918202981106265,180,6122.14236111111,373.4101851851852,28,2,3,싱가포르_상용,12,여름_상용,384,97248,6122.14236111111,12378.40829217557,6.25,54384.333333333336,146.91666666666669,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,238,174,183,183,7033,3502
싱가포르,유학연수,2026,8,3,여름,0,260,249.33333333333334,236.86666666666667,224.4,178.33333333333334,109.55555555555556,61.52777777777778,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,206.5,,0.0524103139013453,0.11061816030760131,0.395910780669145,48,3.8918202981106265,180,6122.14236111111,1424.4648148148149,28,3,3,싱가포르_유학연수,12,여름_유학연수,384,97248,6122.14236111111,12378.40829217557,6.25,54384.333333333336,146.91666666666669,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,198,139,103,146,6944,3375
베트남,공용,2026,8,3,여름,0,260,211.66666666666666,201.08333333333331,190.5,115.0,212.88888888888889,177.80555555555554,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,49.5,,0.05237113402061861,0.11053089643167967,0.8333333333333333,48,3.8918202981106265,180,5660.895833333333,273.81898148148144,19,0,3,베트남_공용,12,여름_공용,384,97248,5660.895833333333,7838.108668163646,24.25,29351.0,973.0,273.81898148148144,671.2705769271112,1.25,3532.0,11484.727777777778,33809.51398831366,269,209,202,195,7169,3597
베트남,관광,2026,8,3,여름,0,260,18194.0,17284.3,16374.6,10087.333333333334,18610.888888888887,14284.861111111111,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,7941.5,,0.05262853407230426,0.11110432594836217,0.8035684784404427,48,3.8918202981106265,180,5660.895833333333,44945.81712962963,19,1,3,베트남_관광,12,여름_관광,384,97248,5660.895833333333,7838.108668163646,24.25,29351.0,973.0,44945.81712962963,54906.56830808382,3273.0,224785.0,11484.727777777778,33809.51398831366,18168,18160,16371,18442,28856,23018
베트남,상용,2026,8,3,여름,0,260,453.3333333333333,430.66666666666663,408.0,353.6666666666667,500.22222222222223,388.22222222222223,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,268.0,,0.05250965250965256,0.11083944580277094,0.28101503759398483,48,3.8918202981106265,180,5660.895833333333,373.4101851851852,19,2,3,베트남_상용,12,여름_상용,384,97248,5660.895833333333,7838.108668163646,24.25,29351.0,973.0,373.4101851851852,624.3789467077137,24.75,2828.6666666666665,11484.727777777778,33809.51398831366,552,485,496,499,7516,3932
베트남,유학연수,2026,8,3,여름,0,260,5520.666666666667,5244.633333333333,4968.6,3898.3333333333335,4857.11111111111,3630.638888888889,0.1,202608,2,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,,260,67600,10790.5,,0.05262154553946465,0.11108875295127708,0.41605402632928706,48,3.8918202981106265,180,5660.895833333333,1424.4648148148149,19,3,3,베트남_유학연수,12,여름_유학연수,384,97248,5660.895833333333,7838.108668163646,24.25,29351.0,973.0,1424.4648148148149,4236.256416933347,8.75,33336.0,11484.727777777778,33809.51398831366,5265,5182,5187,5294,12357,8759
