,MAE,MSE,RMSE,R²,MAPE
RandomForest,73.28563546755862,251546.11130046748,501.5437282037006,0.9938430504799571,8.501354470901486
GradientBoosting,69.81518318927111,193374.5992115521,439.7437881443604,0.9952668811310627,47.41898494986076
XGBoost,122.39843339656547,1095852.9541884635,1046.829954762694,0.9731774373873388,65.09078012611444
Ridge,276.3251950799355,1339736.6830806981,1157.469949104813,0.9672080355954116,999.9
Lasso,273.9910364301272,1341643.391720069,1158.2933098831527,0.967161366184458,999.9
