,MAE,MSE,RMSE,R²,MAPE
RandomForest,73.6792115197877,257289.904509891,507.237522773987,0.9937024629564165,8.47807615750773
GradientBoosting,70.48477826360211,202555.36633917753,450.06151395023494,0.9950421687732853,40.36553781381648
XGBoost,118.74308013916016,1016142.125,1008.0387517352693,0.9751284718513489,83.74258720547235
Ridge,276.32519507992913,1339736.6830806914,1157.46994910481,0.9672080355954117,999.9
Lasso,273.99103643012745,1341643.3917200684,1158.2933098831525,0.967161366184458,999.9
