국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
중국,공용,94,47,50,95,"3,000",↓,양호,139,"4,500",↓,양호,0.2946,0.60,↓,미흡,78.0%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.032603,0.017598,0.133005,0.114154,0.023774,0.016260,아니오,0.001000,20250720_204753
중국,관광,96,48,39,"74,051","3,000",↑,미흡,"105,260","4,500",↑,미흡,0.4693,0.60,↓,미흡,57.6%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.031302,0.021988,0.137722,0.127022,0.029525,0.012314,예,0.000700,20250720_204753
중국,상용,94,47,19,"1,023","3,000",↓,양호,"1,185","4,500",↓,양호,0.2636,0.60,↓,미흡,87.6%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.055895,0.036984,0.187266,0.139614,0.055895,0.016310,예,0.000700,20250720_204753
중국,유학연수,94,47,50,"6,742","3,000",↑,미흡,"10,862","4,500",↑,미흡,0.1678,0.60,↓,미흡,81.9%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.039483,0.030615,0.166140,0.143672,0.033447,0.030615,아니오,0.001000,20250720_204753
