월,총합,공용,상용,관광,유학연수,관광_비율
2026-01,7723.602967651356,0,0,7711.327496282809,12.27547136854712,99.8%
2026-02,6731.815822284193,0,0,6723.590930397091,8.224891887102034,99.9%
2026-03,7308.7882474778335,0,0,7281.894007851142,26.894239626690798,99.6%
2026-04,6214.129551534316,0,0,6198.535904522531,15.593647011784899,99.7%
2026-05,7598.8745693833025,0,0,7590.4302539509545,8.444315432348503,99.9%
2026-06,7822.238054839354,0,0,7811.917865838775,10.320189000579369,99.9%
2026-07,9033.840842930776,0,0,9022.38606845717,11.454774473606333,99.9%
2026-08,7989.0266530467015,0,0,7980.458273886109,8.568379160592569,99.9%
2026-09,7921.2139502086775,0,0,7899.638984130478,21.574966078199555,99.7%
2026-10,7687.806771810744,0,0,7672.872181714006,14.934590096737947,99.8%
2026-11,8611.091092062221,0,0,8604.17291566061,6.918176401611035,99.9%
2026-12,7962.275595648655,0,0,7954.004980349615,8.270615299040458,99.9%
2027-01,7772.7481002446475,0,0,7761.931171676418,10.816928568230077,99.9%
