국적,목적,ds,prophet_pred,xgb_pred,lstm_pred,stacking_pred
그리스,관광,2025-08-01 08:57:27.303636,726.8339641392847,,885.2327157239791,806.0333399316319
그리스,관광,2025-09-01 08:57:27.303636,764.2721252919087,,761.6672378990477,762.9696815954782
그리스,관광,2025-10-01 08:57:27.303636,929.8912793550163,,759.4543936018742,844.6728364784453
그리스,관광,2025-11-01 08:57:27.303636,944.2131979027806,,760.02751258197,852.1203552423754
그리스,관광,2025-12-01 08:57:27.303636,675.4512467723605,,532.524868412492,603.9880575924262
그리스,관광,2026-01-01 08:57:27.303636,738.744190074019,,464.2615603832664,601.5028752286427
그리스,관광,2026-02-01 08:57:27.303636,647.1183233973434,,601.3223285983584,624.2203259978509
그리스,관광,2026-03-01 08:57:27.303636,999.4223826587062,,762.4313272340203,880.9268549463632
그리스,관광,2026-04-01 08:57:27.303636,976.8842275662807,,680.0593435394255,828.4717855528531
그리스,관광,2026-05-01 08:57:27.303636,979.7002731860217,,572.3831120983921,776.041692642207
그리스,관광,2026-06-01 08:57:27.303636,908.6228422650127,,520.0455742698019,714.3342082674073
그리스,관광,2026-07-01 08:57:27.303636,986.1654296673508,,494.87615970260924,740.52079468498
그리스,공용,2025-08-01 08:57:27.303636,1.835655389559463,,0.33980762754666194,1.0877315085530626
그리스,공용,2025-09-01 08:57:27.303636,0.5186724191266998,,0.4650480741164187,0.49186024662155925
그리스,공용,2025-10-01 08:57:27.303636,0.5420210092650346,,0.29506495344554284,0.4185429813552887
그리스,공용,2025-11-01 08:57:27.303636,0.29350647148592596,,0.1625143839122588,0.22801042769909238
그리스,공용,2025-12-01 08:57:27.303636,2.4834558581774195,,0.2073529591182791,1.3454044086478494
그리스,공용,2026-01-01 08:57:27.303636,1.1694477270782146,,0.49231002728123535,0.830878877179725
그리스,공용,2026-02-01 08:57:27.303636,1.1798159576548852,,0.4770883807166802,0.8284521691857827
그리스,공용,2026-03-01 08:57:27.303636,1.539229507991174,,0.40843484835096083,0.9738321781710674
그리스,공용,2026-04-01 08:57:27.303636,1.4315512475687777,,0.5187816355786963,0.975166441573737
그리스,공용,2026-05-01 08:57:27.303636,0.887334348861488,,0.6510922028435412,0.7692132758525145
그리스,공용,2026-06-01 08:57:27.303636,0.4922684002392582,,0.7907126946010838,0.6414905474201711
그리스,공용,2026-07-01 08:57:27.303636,0.7466472558824337,,0.9057503654059792,0.8261988106442064
그리스,상용,2025-08-01 08:57:27.303636,20.748910334926162,,11.493535274297933,16.121222804612046
그리스,상용,2025-09-01 08:57:27.303636,14.835543345657713,,12.232262207809159,13.533902776733436
그리스,상용,2025-10-01 08:57:27.303636,12.867444544552503,,11.966715353090624,12.417079948821563
그리스,상용,2025-11-01 08:57:27.303636,10.100638646738151,,11.548821563967405,10.824730105352778
그리스,상용,2025-12-01 08:57:27.303636,8.980339171805513,,21.039058221194033,15.009698696499772
그리스,상용,2026-01-01 08:57:27.303636,18.533787470146084,,27.856257591619983,23.195022530883033
그리스,상용,2026-02-01 08:57:27.303636,14.808625497273486,,23.0627571637108,18.93569133049214
그리스,상용,2026-03-01 08:57:27.303636,11.271860095981996,,13.493128638196387,12.38249436708919
그리스,상용,2026-04-01 08:57:27.303636,11.204225805333051,,16.052608730282863,13.628417267807958
그리스,상용,2026-05-01 08:57:27.303636,13.158401150056449,,32.32660790485046,22.742504527453455
그리스,상용,2026-06-01 08:57:27.303636,10.832331637816555,,28.305890905600045,19.5691112717083
그리스,상용,2026-07-01 08:57:27.303636,11.776117770326064,,16.549461994060614,14.162789882193339
그리스,기타,2025-08-01 08:57:27.303636,290.7413095831921,,206.41108193310862,248.57619575815036
그리스,기타,2025-09-01 08:57:27.303636,266.1483710255272,,198.70544461227286,232.42690781890002
그리스,기타,2025-10-01 08:57:27.303636,316.5973704511051,,211.94808183345015,264.27272614227763
그리스,기타,2025-11-01 08:57:27.303636,256.0507843433135,,230.39451390492638,243.22264912411995
그리스,기타,2025-12-01 08:57:27.303636,299.2591490974767,,234.11846753653043,266.6888083170036
그리스,기타,2026-01-01 08:57:27.303636,263.18744976315276,,243.08977801017733,253.13861388666504
그리스,기타,2026-02-01 08:57:27.303636,267.2302688541235,,264.2181524555491,265.72421065483627
그리스,기타,2026-03-01 08:57:27.303636,274.10301599363515,,281.61716249730966,277.8600892454724
그리스,기타,2026-04-01 08:57:27.303636,304.70444904832414,,290.94841244143953,297.8264307448818
그리스,기타,2026-05-01 08:57:27.303636,317.10922359247735,,307.9646895199767,312.536956556227
그리스,기타,2026-06-01 08:57:27.303636,294.9935289039493,,308.9136193160977,301.9535741100235
그리스,기타,2026-07-01 08:57:27.303636,277.4669111273359,,305.8542998692933,291.66060549831457
그리스,유학연수,2025-08-01 08:57:27.303636,30.89186938059565,,2.912686318544443,16.902277849570048
그리스,유학연수,2025-09-01 08:57:27.303636,1.274769385059252,,6.313161543401532,3.793965464230392
그리스,유학연수,2025-10-01 08:57:27.303636,1.6777039956429018,,11.690441388487208,6.6840726920650555
그리스,유학연수,2025-11-01 08:57:27.303636,10.598478045977345,,5.7833716322002235,8.190924839088783
그리스,유학연수,2025-12-01 08:57:27.303636,5.975508979828064,,4.154525546370945,5.065017263099504
그리스,유학연수,2026-01-01 08:57:27.303636,4.512847735953952,,8.57083256606965,6.541840151011801
그리스,유학연수,2026-02-01 08:57:27.303636,20.660626231392634,,15.728927040538764,18.1947766359657
그리스,유학연수,2026-03-01 08:57:27.303636,4.019552082435787,,1.6850142914564328,2.85228318694611
그리스,유학연수,2026-04-01 08:57:27.303636,0.5124941485457677,,2.931360228192211,1.7219271883689893
그리스,유학연수,2026-05-01 08:57:27.303636,5.217263630989269,,4.765008140941585,4.991135885965427
그리스,유학연수,2026-06-01 08:57:27.303636,10.847534147864621,,6.08200789830133,8.464771023082976
그리스,유학연수,2026-07-01 08:57:27.303636,3.640849985735166,,13.363438084855714,8.50214403529544
나이지리아,공용,2025-08-01 08:57:27.303636,3.151719201724743,,3.8241229762689826,3.487921088996863
나이지리아,공용,2025-09-01 08:57:27.303636,1.6141407049221272,,4.132019284125003,2.8730799945235654
나이지리아,공용,2025-10-01 08:57:27.303636,7.25372826301939,,4.823231675143035,6.038479969081212
나이지리아,공용,2025-11-01 08:57:27.303636,2.1364366418332117,,4.069456539284712,3.102946590558962
나이지리아,공용,2025-12-01 08:57:27.303636,0.7595074998403407,,3.0849110238568005,1.9222092618485707
나이지리아,공용,2026-01-01 08:57:27.303636,0.8271627670525507,,2.001319093187133,1.414240930119842
나이지리아,공용,2026-02-01 08:57:27.303636,2.2309585515691217,,2.8877957451728795,2.5593771483710004
나이지리아,공용,2026-03-01 08:57:27.303636,1.5872549022982652,,3.5355210542823916,2.5613879782903286
나이지리아,공용,2026-04-01 08:57:27.303636,1.8048161434973997,,2.99039562394285,2.397605883720125
나이지리아,공용,2026-05-01 08:57:27.303636,1.8713554025732104,,2.0377232020506497,1.9545393023119302
나이지리아,공용,2026-06-01 08:57:27.303636,1.4781014326992759,,1.3327928619896259,1.405447147344451
나이지리아,공용,2026-07-01 08:57:27.303636,2.0521876275107824,,2.5251622398757525,2.2886749336932675
나이지리아,기타,2025-08-01 08:57:27.303636,56.18183307684015,,27.267052210117324,41.72444264347874
나이지리아,기타,2025-09-01 08:57:27.303636,37.15203473670131,,33.69174489668046,35.421889816690886
나이지리아,기타,2025-10-01 08:57:27.303636,31.136332088934548,,26.651888026328383,28.894110057631465
나이지리아,기타,2025-11-01 08:57:27.303636,30.487228506644673,,23.171095475623826,26.82916199113425
나이지리아,기타,2025-12-01 08:57:27.303636,42.90008987565034,,21.782380117504978,32.341234996577654
나이지리아,기타,2026-01-01 08:57:27.303636,54.80077823152981,,26.78320118353543,40.79198970753262
나이지리아,기타,2026-02-01 08:57:27.303636,62.57532714174049,,24.190878546280373,43.38310284401043
나이지리아,기타,2026-03-01 08:57:27.303636,44.886539005980765,,23.806684103048564,34.346611554514666
나이지리아,기타,2026-04-01 08:57:27.303636,41.49803116768133,,24.677572000961117,33.08780158432123
나이지리아,기타,2026-05-01 08:57:27.303636,36.649225030415245,,27.06831917407275,31.858772102243996
나이지리아,기타,2026-06-01 08:57:27.303636,44.08350314565644,,31.12002463984501,37.601763892750725
나이지리아,기타,2026-07-01 08:57:27.303636,57.671294959014126,,36.33724504609291,47.00427000255352
나이지리아,관광,2025-08-01 08:57:27.303636,112.2592903767968,,148.57393604819313,130.41661321249495
나이지리아,관광,2025-09-01 08:57:27.303636,168.37248362608742,,154.7721772349924,161.57233043053992
나이지리아,관광,2025-10-01 08:57:27.303636,200.6559859480361,,135.38494333815854,168.0204646430973
나이지리아,관광,2025-11-01 08:57:27.303636,145.93221024031902,,119.42077405228554,132.67649214630228
나이지리아,관광,2025-12-01 08:57:27.303636,107.30986833959716,,108.28249985459726,107.79618409709721
나이지리아,관광,2026-01-01 08:57:27.303636,64.39403004603629,,97.4421644243574,80.91809723519685
나이지리아,관광,2026-02-01 08:57:27.303636,74.4736936469434,,105.09193030073999,89.78281197384169
나이지리아,관광,2026-03-01 08:57:27.303636,94.71451008436071,,113.0703260040105,103.8924180441856
나이지리아,관광,2026-04-01 08:57:27.303636,100.59263504976062,,121.58506890002991,111.08885197489526
나이지리아,관광,2026-05-01 08:57:27.303636,240.16386462781932,,131.30989047843406,185.7368775531267
나이지리아,관광,2026-06-01 08:57:27.303636,181.93531135995426,,158.4703235925001,170.20281747622718
나이지리아,관광,2026-07-01 08:57:27.303636,200.96898549816257,,184.20159843187338,192.58529196501797
나이지리아,상용,2025-08-01 08:57:27.303636,36.347833820161604,,24.344443543544614,30.34613868185311
나이지리아,상용,2025-09-01 08:57:27.303636,36.89274384556448,,27.069367941523836,31.98105589354416
나이지리아,상용,2025-10-01 08:57:27.303636,44.14929420118032,,30.128879310499073,37.1390867558397
나이지리아,상용,2025-11-01 08:57:27.303636,42.05131218565883,,32.68588780836167,37.36859999701025
나이지리아,상용,2025-12-01 08:57:27.303636,30.294016583124773,,27.774777978307057,29.034397280715915
나이지리아,상용,2026-01-01 08:57:27.303636,28.601718655499173,,29.2007876895061,28.901253172502635
나이지리아,상용,2026-02-01 08:57:27.303636,38.293888914427825,,30.96229588600599,34.62809240021691
나이지리아,상용,2026-03-01 08:57:27.303636,43.120552398053206,,32.343825059596654,37.73218872882493
나이지리아,상용,2026-04-01 08:57:27.303636,42.433863993898804,,26.436348466176355,34.435106230037576
나이지리아,상용,2026-05-01 08:57:27.303636,45.802815719236655,,22.027054470332942,33.914935094784795
나이지리아,상용,2026-06-01 08:57:27.303636,41.55537641748701,,17.394371446341665,29.47487393191434
나이지리아,상용,2026-07-01 08:57:27.303636,37.714226005118796,,12.580895682091139,25.147560843604968
남아프리카 공화국,공용,2025-08-01 08:57:27.303636,11.398570607877211,,0.8505844403678364,6.1245775241225235
남아프리카 공화국,공용,2025-09-01 08:57:27.303636,3.8052080644578927,,0.7967492332300528,2.300978648843973
남아프리카 공화국,공용,2025-10-01 08:57:27.303636,6.386484875308336,,0.8200037124897706,3.6032442938990537
남아프리카 공화국,공용,2025-11-01 08:57:27.303636,7.644398071847853,,0.867217914728782,4.255807993288317
남아프리카 공화국,공용,2025-12-01 08:57:27.303636,5.238165423544714,,0.7398383095545507,2.9890018665496325
남아프리카 공화국,공용,2026-01-01 08:57:27.303636,4.385845900641432,,0.7635863244107985,2.5747161125261155
남아프리카 공화국,공용,2026-02-01 08:57:27.303636,1.7455341437895455,,0.6839702319104237,1.2147521878499847
남아프리카 공화국,공용,2026-03-01 08:57:27.303636,4.9404472505902834,,0.7359755011986697,2.8382113758944767
남아프리카 공화국,공용,2026-04-01 08:57:27.303636,5.513452300012859,,0.8658154433405232,3.189633871676691
남아프리카 공화국,공용,2026-05-01 08:57:27.303636,5.934478932093136,,0.9615965353117878,3.448037733702462
남아프리카 공화국,공용,2026-06-01 08:57:27.303636,7.845519140857869,,0.8865976881255048,4.366058414491687
남아프리카 공화국,공용,2026-07-01 08:57:27.303636,6.9379641494204245,,0.816110274381532,3.877037211900978
남아프리카 공화국,관광,2025-08-01 08:57:27.303636,886.2504033845629,,604.2930301128252,745.2717167486941
남아프리카 공화국,관광,2025-09-01 08:57:27.303636,1142.515654979626,,517.4943998690028,830.0050274243144
남아프리카 공화국,관광,2025-10-01 08:57:27.303636,993.8735231722922,,448.42937153049303,721.1514473513926
남아프리카 공화국,관광,2025-11-01 08:57:27.303636,754.9299536686649,,460.11391167346005,607.5219326710625
남아프리카 공화국,관광,2025-12-01 08:57:27.303636,921.6530441691569,,526.3878248357693,724.0204345024631
남아프리카 공화국,관광,2026-01-01 08:57:27.303636,606.2263817229841,,480.43928998266136,543.3328358528228
남아프리카 공화국,관광,2026-02-01 08:57:27.303636,599.9089522642212,,506.60711326151056,553.2580327628659
남아프리카 공화국,관광,2026-03-01 08:57:27.303636,839.8793118762619,,519.1879670034713,679.5336394398666
