국적,목적,날짜,예측입국자수
일본,관광,2025-06-01,265697
일본,관광,2025-07-01,262094
일본,관광,2025-08-01,259544
일본,관광,2025-09-01,256953
일본,관광,2025-10-01,253706
일본,관광,2025-11-01,250200
일본,관광,2025-12-01,246658
일본,관광,2026-01-01,242327
일본,관광,2026-02-01,237581
일본,관광,2026-03-01,233706
일본,관광,2026-04-01,231557
일본,관광,2026-05-01,228515
일본,유학연수,2025-06-01,670
일본,유학연수,2025-07-01,741
일본,유학연수,2025-08-01,2699
일본,유학연수,2025-09-01,1106
일본,유학연수,2025-10-01,558
일본,유학연수,2025-11-01,644
일본,유학연수,2025-12-01,744
일본,유학연수,2026-01-01,1538
일본,유학연수,2026-02-01,2634
일본,유학연수,2026-03-01,1226
일본,유학연수,2026-04-01,636
일본,유학연수,2026-05-01,856
일본,공용,2025-06-01,137
일본,공용,2025-07-01,123
일본,공용,2025-08-01,245
일본,공용,2025-09-01,554
일본,공용,2025-10-01,742
일본,공용,2025-11-01,1239
일본,공용,2025-12-01,339
일본,공용,2026-01-01,193
일본,공용,2026-02-01,61
일본,공용,2026-03-01,-69
일본,공용,2026-04-01,-203
일본,공용,2026-05-01,-172
일본,상용,2025-06-01,1314
일본,상용,2025-07-01,1322
일본,상용,2025-08-01,1339
일본,상용,2025-09-01,1358
일본,상용,2025-10-01,1376
일본,상용,2025-11-01,1398
일본,상용,2025-12-01,1421
일본,상용,2026-01-01,1445
일본,상용,2026-02-01,1458
일본,상용,2026-03-01,1470
일본,상용,2026-04-01,1483
일본,상용,2026-05-01,1503
