국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
홍콩,공용,90,45,1,0,"3,000",↓,양호,0,"4,500",↓,양호,0.0589,0.25,↓,미흡,36.0%,60.0%,↓,양호,0.269,0.20,↑,양호,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,아니오,0.001000,20250721_162800
홍콩,관광,80,40,1,0,"3,000",↓,양호,0,"4,500",↓,양호,-0.1065,0.50,↓,미흡,23.9%,40.0%,↓,양호,0.333,0.40,↓,미흡,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,아니오,0.001000,20250721_162800
홍콩,상용,92,46,1,0,"3,000",↓,양호,0,"4,500",↓,양호,-3.7939,0.40,↓,미흡,31.0%,45.0%,↓,양호,0.083,0.35,↓,미흡,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,아니오,0.001000,20250721_162800
홍콩,유학연수,90,45,1,0,"3,000",↓,양호,0,"4,500",↓,양호,-0.3484,0.30,↓,미흡,18.5%,55.0%,↓,양호,0.333,0.25,↑,양호,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,아니오,0.001000,20250721_162800
