월,총합,공용,관광,상용,유학연수,관광_비율
2025-06,417845,381,395787,4513,17164,94.7%
2025-07,430140,341,411964,5126,12709,95.8%
2025-08,463268,298,441955,4112,16903,95.4%
2025-09,434014,268,417654,3107,12985,96.2%
2025-10,414291,300,402153,2651,9187,97.1%
2025-11,330872,250,321722,2410,6490,97.2%
2025-12,264679,153,257377,2389,4760,97.2%
2026-01,212088,105,205901,1840,4242,97.1%
2026-02,171566,84,164720,1953,4809,96.0%
2026-03,136325,84,131776,1858,2607,96.7%
2026-04,107882,75,105420,1404,983,97.7%
2026-05,86094,101,84336,1512,145,98.0%
2026-06,68977,93,67468,1415,1,97.8%
