국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
중국,중국_공용,198,35,49,71,"1,000",↓,우수,92,"1,500",↓,우수,0.6529,0.20,↑,우수,79.7%,50.0%,↑,심각,0.824,0.45,↑,우수,0.032037,0.016367,0.140480,0.101594,0.025631,0.013419,예,0.001000,20250717_140048
중국,중국_상용,198,35,11,"3,623","1,000",↑,심각,"3,957","1,500",↑,심각,-13.3163,0.20,↓,심각,218.9%,50.0%,↑,심각,0.727,0.45,↑,우수,0.275114,0.040514,0.434708,0.195854,0.275114,0.025172,예,0.001000,20250717_142044
중국,중국_유학연수,198,35,31,"8,105","1,000",↑,심각,"11,939","1,500",↑,심각,0.0335,0.20,↓,심각,80.6%,50.0%,↑,심각,0.000,0.45,↓,심각,0.036361,0.071281,0.141215,0.178755,0.033540,0.067998,예,0.001000,20250717_142055
