국적,목적,MAE,RMSE,MAPE,신뢰도
일본,관광,181822.23,191533.98,64.23,낮음 (신뢰 어려움)
일본,유학연수,787.97,1137.31,52.82,낮음 (신뢰 어려움)
일본,공용,132.68,195.38,50.22,낮음 (신뢰 어려움)
일본,상용,616.08,645.44,48.59,보통 (주의 필요)
일본,관광_Prophet,127376.53,131983.27,45.45,보통 (주의 필요)
일본,유학연수_Prophet,289.4,426.19,22.54,높음
일본,공용_Prophet,101.58,144.21,40.09,보통 (주의 필요)
일본,상용_Prophet,232.9,253.49,18.96,높음
