국적,목적,MAE,RMSE,MAPE,신뢰도
터키,관광,823.27,1182.38,39.79,높음
터키,유학연수,41.98,66.59,60.2,낮음 (신뢰 어려움)
터키,공용,10.18,14.85,93.57,낮음 (신뢰 어려움)
터키,상용,3.36,3.96,25.24,높음
