월,총합,공용,상용,관광,유학연수,관광_비율
2026-01,12,1,3,5,3,41.7%
2026-02,12,1,3,5,3,41.7%
2026-03,12,1,3,5,3,41.7%
2026-04,13,1,3,6,3,46.2%
2026-05,13,1,3,6,3,46.2%
2026-06,13,1,3,6,3,46.2%
2026-07,12,1,3,5,3,41.7%
2026-08,11,1,3,4,3,36.4%
2026-09,12,1,3,5,3,41.7%
2026-10,11,1,3,5,2,45.5%
2026-11,11,1,3,5,2,45.5%
2026-12,10,1,3,4,2,40.0%
