Model,R2,MAE,RMSE,MAPE,Mean_Pred,Mean_True
GradientBoosting,0.9603947162755728,675.3405125208373,5697.499193928733,28.398612233476577,4827.050276286171,4802.776950311318
RandomForest,0.9485171887883492,694.2197165048794,6495.892582818026,26.08820787169145,4628.34930838627,4802.776950311318
LightGBM,0.9199781926215007,1367.1299682781553,8098.636119294129,280.59773682247175,5239.0250388058885,4802.776950311318
BiLSTM_GPU,-0.07531938650523462,194321.375,243108.03125,21.012762188911438,978475.5,1043319.3125
LSTM_GPU,-0.7910818818565442,265698.25,313753.3125,25.405728816986084,834755.75,1043319.3125
GRU_GPU,-3.4012307475437282,448323.875,491832.96875,40.660956501960754,610975.6875,1043319.3125
LSTM_CPU,-3.4562617814501095,451447.96875,494898.25,40.93968868255615,607429.3125,1043319.3125
GRU_CPU,-5.135195734516257,535598.4375,580690.5625,48.414796590805054,512057.84375,1043319.3125
DenseNN_CPU,-8.450182406803696,671567.875,720693.625,62.222135066986084,371751.46875,1043319.3125
