국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,예측_Prophet,예측_SARIMAX,예측_ExponentialSmoothing,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_LSTM_CPU,예측_GRU_CPU,예측_DenseNN_CPU,예측_LSTM_GPU,예측_GRU_GPU,예측_BiLSTM_GPU,예측_평균,최고모델_예측
그리스,공용,2022,1,1,겨울,1,205,2,0.0,2.0,0.0,1.6666666666666667,0.9166666666666666,inf,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.689628567780932,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.3088391629913,14.152952172880065
그리스,공용,2022,2,1,겨울,1,206,1,2.0,3.0,1.0,1.0,0.9166666666666666,0.0,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.561870768221561,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.298192679695,14.152952172880065
그리스,공용,2022,3,1,봄,1,207,1,1.0,0.0,0.0,1.3333333333333333,1.0,inf,0,0,2,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.5620676744109128,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.298209088544,14.152952172880065
그리스,공용,2022,4,2,봄,1,208,1,1.0,2.0,0.0,1.0,1.0833333333333333,inf,0,0,2,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.3671831701861867,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.281968713192,14.152952172880065
그리스,공용,2022,5,2,봄,1,209,2,1.0,1.0,1.0,1.3333333333333333,1.1666666666666667,100.0,0,0,2,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.3636317617684757,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.281672762491,14.152952172880065
그리스,공용,2022,7,3,여름,0,211,1,0.0,1.0,0.0,1.0,1.25,inf,0,0,3,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.383168952153839,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2833008616894,14.152952172880065
그리스,공용,2022,8,3,여름,0,212,1,1.0,2.0,1.0,0.6666666666666666,1.25,0.0,0,0,3,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.3805204172098398,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2830801504438,14.152952172880065
그리스,공용,2022,9,3,가을,0,213,1,1.0,0.0,1.0,1.0,1.25,0.0,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.3612122866286858,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2814711395617,14.152952172880065
그리스,공용,2022,10,4,가을,0,214,2,1.0,1.0,2.0,1.3333333333333333,1.25,0.0,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.3478100069319012,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.280354282921,14.152952172880065
그리스,공용,2022,11,4,가을,0,215,1,2.0,1.0,3.0,1.3333333333333333,1.0833333333333333,-66.66666666666666,0,0,0,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,13.688142035311706,3.3297905101925807,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2401184800615,13.688142035311706
그리스,공용,2022,12,4,겨울,0,216,2,1.0,1.0,0.0,1.6666666666666667,1.25,inf,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,13.688142035311706,3.331868312082869,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.240291630219,13.688142035311706
그리스,공용,2023,1,1,겨울,0,217,2,2.0,2.0,2.0,1.6666666666666667,1.25,0.0,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.477504551130602,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2911621616036,14.152952172880065
그리스,공용,2023,2,1,겨울,0,218,1,2.0,1.0,1.0,1.6666666666666667,1.25,0.0,0,0,1,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.384957147072796,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2834498779325,14.152952172880065
그리스,공용,2023,3,1,봄,0,219,2,1.0,2.0,1.0,1.6666666666666667,1.3333333333333333,100.0,0,0,2,5589.029622102883,4630.6211877472415,4692.382673329717,87.68027777452232,14.152952172880065,3.392617706710005,2637.2820652173914,2226.121059782609,1869.1917119565217,3621.623369565217,2656.633695652174,4219.297826086957,2687.2840882579026,14.152952172880065
