국적,목적,연도,월,분기,계절,코로나기간,시계열순서,입국자수,입국자수_1개월전,입국자수_3개월전,입국자수_12개월전,입국자수_3개월평균,입국자수_12개월평균,전년동월대비증감률,국적_encoded,목적_encoded,계절_encoded,date,trend,lag_1,lag_3,lag_6,lag_12,ma_3,ma_6,ma_12,sin_month,cos_month,vs_lag12,vs_ma12,nat_mean,nat_std,pur_mean,pur_std,예측_LightGBM,예측_GradientBoosting,예측_RandomForest,예측_Weighted_Ensemble
그리스,공용,2022,5,2,봄,1,209,2,1.0,1.0,1.0,1.3333333333333333,1.1666666666666667,100.0,0,0,2,2022-05-01,76,1.0,1.0,2.0,1.0,1.3333333333333333,1.6666666666666667,1.5,0.49999999999999994,-0.8660254037844387,1.0,0.8,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,10.554692828275227,3.763191791645041,260.45227252397547
그리스,공용,2022,7,3,여름,0,211,1,0.0,1.0,0.0,1.0,1.25,inf,0,0,3,2022-07-01,77,2.0,1.0,3.0,2.0,1.3333333333333333,1.3333333333333333,1.4166666666666667,-0.4999999999999997,-0.8660254037844388,0.3333333333333333,0.4137931034482758,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.227203320995408,259.3721669438218
그리스,공용,2022,8,3,여름,0,212,1,1.0,2.0,1.0,0.6666666666666666,1.25,0.0,0,0,3,2022-08-01,78,1.0,1.0,2.0,1.0,1.3333333333333333,1.1666666666666667,1.4166666666666667,-0.8660254037844385,-0.5000000000000004,0.5,0.4137931034482758,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2163538260895628,259.36853352950783
그리스,공용,2022,9,3,가을,0,213,1,1.0,0.0,1.0,1.0,1.25,0.0,0,0,0,2022-09-01,79,1.0,2.0,1.0,1.0,1.0,1.1666666666666667,1.4166666666666667,-1.0,-1.8369701987210297e-16,0.5,0.4137931034482758,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2260093605044076,259.3717670954255
그리스,공용,2022,10,4,가을,0,214,2,1.0,1.0,2.0,1.3333333333333333,1.25,0.0,0,0,0,2022-10-01,80,1.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.5,-0.8660254037844386,0.5000000000000001,1.0,0.8,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,10.554692828275227,3.7784702873567313,260.457389177377
그리스,공용,2022,11,4,가을,0,215,1,2.0,1.0,3.0,1.3333333333333333,1.0833333333333333,-66.66666666666666,0,0,0,2022-11-01,81,2.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.5,-0.5000000000000004,0.8660254037844384,0.5,0.4,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,8.269419616136018,3.2353166973666374,259.49708949396205
그리스,공용,2022,12,4,겨울,0,216,2,1.0,1.0,0.0,1.6666666666666667,1.25,inf,0,0,1,2022-12-01,82,1.0,1.0,2.0,2.0,1.6666666666666667,1.3333333333333333,1.5,-2.4492935982947064e-16,1.0,0.6666666666666666,0.8,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,10.913470111846397,3.611630020309846,260.52372106704934
그리스,공용,2023,1,1,겨울,0,217,2,2.0,2.0,2.0,1.6666666666666667,1.25,0.0,0,0,1,2023-01-01,83,2.0,2.0,1.0,3.0,1.6666666666666667,1.5,1.4166666666666667,0.49999999999999994,0.8660254037844387,0.5,0.8275862068965516,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,11.630196744246758,3.8017583120820033,260.8315224777594
그리스,공용,2023,2,1,겨울,0,218,1,2.0,1.0,1.0,1.6666666666666667,1.25,0.0,0,0,1,2023-02-01,84,2.0,1.0,1.0,2.0,1.6666666666666667,1.5,1.3333333333333333,0.8660254037844386,0.5000000000000001,0.3333333333333333,0.4285714285714286,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.3042132772158452,259.3979569994583
그리스,공용,2023,3,1,봄,0,219,2,1.0,2.0,1.0,1.6666666666666667,1.3333333333333333,100.0,0,0,2,2023-03-01,85,1.0,2.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.4166666666666667,1.0,6.123233995736766e-17,1.0,0.8275862068965516,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,11.63189623806866,4.223676540306119,260.97339859736695
그리스,공용,2023,4,2,봄,0,220,1,2.0,2.0,1.0,1.3333333333333333,1.3333333333333333,0.0,0,0,2,2023-04-01,86,2.0,2.0,2.0,1.0,1.3333333333333333,1.5,1.4166666666666667,0.8660254037844387,-0.4999999999999998,0.5,0.4137931034482758,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2832382982852515,259.39093263663375
그리스,공용,2023,5,2,봄,0,221,1,1.0,1.0,2.0,1.3333333333333333,1.25,-50.0,0,0,2,2023-05-01,87,1.0,1.0,1.0,1.0,1.3333333333333333,1.5,1.4166666666666667,0.49999999999999994,-0.8660254037844387,0.5,0.4137931034482758,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2780432144343807,259.38919284209123
그리스,공용,2023,8,3,여름,0,224,1,0.0,1.0,1.0,0.3333333333333333,1.1666666666666667,0.0,0,0,3,2023-08-01,88,1.0,2.0,2.0,2.0,1.0,1.3333333333333333,1.3333333333333333,-0.8660254037844385,-0.5000000000000004,0.3333333333333333,0.4285714285714286,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,7.910642332564849,3.2899651079076913,259.3931853946268
그리스,공용,2023,9,3,가을,0,225,2,1.0,0.0,1.0,1.0,1.25,100.0,0,0,0,2023-09-01,89,1.0,1.0,2.0,1.0,1.3333333333333333,1.3333333333333333,1.4166666666666667,-1.0,-1.8369701987210297e-16,1.0,0.8275862068965516,136.03301237964237,194.03008488327555,75.61050643159126,319.88719948348,787.6854759996638,11.630196744246758,4.205522129553869,260.966739946093
