월,총합,공용,관광,상용,유학연수,관광_비율
2025-09,28852081,3506,28834516,12892,1167,99.9%
2025-10,49291842,3903,49269961,16975,1003,100.0%
2025-11,44069664,4049,44050830,13829,956,100.0%
2025-12,44819905,2820,44806796,9196,1093,100.0%
2026-01,26332016,3655,26312681,11996,3684,99.9%
2026-02,28688898,1927,28672189,10820,3962,99.9%
2026-03,40653346,2394,40635235,13720,1997,100.0%
2026-04,54857407,3478,54838060,15010,859,100.0%
2026-05,40356152,3769,40336919,14144,1320,100.0%
