월,총합,공용,관광,상용,유학연수,관광_비율
2025-07,96992,3216,93010,228,538,95.9%
2025-08,71672,2864,67961,181,666,94.8%
2025-09,58906,2490,55950,141,325,95.0%
2025-10,57524,2088,55089,148,199,95.8%
