월,총합,관광,관광_비율
2025-08,136403,136403,100.0%
2025-09,113513,113513,100.0%
2025-10,96044,96044,100.0%
2025-11,75742,75742,100.0%
2025-12,68842,68842,100.0%
2026-01,40489,40489,100.0%
2026-02,34596,34596,100.0%
2026-03,26324,26324,100.0%
2026-04,24310,24310,100.0%
2026-05,20121,20121,100.0%
2026-06,13647,13647,100.0%
2026-07,9356,9356,100.0%
2026-08,11565,11565,100.0%
2026-09,16618,16618,100.0%
2026-10,21706,21706,100.0%
