월,총합,공용,관광,상용,유학연수,관광_비율
2025-07,102125,3508,97784,243,590,95.7%
2025-08,73546,3119,69371,186,870,94.3%
2025-09,65727,2644,62440,152,491,95.0%
2025-10,54241,2246,51471,119,405,94.9%
