국적,목적,MAE,RMSE,MAPE,신뢰도
일본,관광,100240.68,114178.53,42.5,보통 (주의 필요)
일본,유학연수,429.15,695.43,37.03,보통 (주의 필요)
일본,공용,90.32,141.95,37.58,보통 (주의 필요)
일본,상용,165.34,197.26,12.69,매우 높음
일본,관광_Prophet,127376.53,131983.27,45.45,보통 (주의 필요)
일본,유학연수_Prophet,289.4,426.19,22.54,높음
일본,공용_Prophet,101.58,144.21,40.09,보통 (주의 필요)
일본,상용_Prophet,232.9,253.49,18.96,높음
