국적,목적,MAE,RMSE,MAPE,신뢰도
중국,관광,59383.21,72968.15,21.5,높음
중국,유학연수,10845.1,12852.57,60.77,낮음 (신뢰 어려움)
중국,공용,158.67,188.43,89.28,낮음 (신뢰 어려움)
중국,상용,5490.06,5506.6,156.03,낮음 (신뢰 어려움)
중국,관광_Prophet,180607.0,186185.66,54.87,낮음 (신뢰 어려움)
중국,유학연수_Prophet,7185.74,9121.34,29.48,높음
중국,공용_Prophet,142.17,161.65,42.52,보통 (주의 필요)
중국,상용_Prophet,2103.44,2262.19,59.06,낮음 (신뢰 어려움)
