국적,목적,년,월,입국자수
러시아(연방),공용,2005,1,34.0
러시아(연방),유학연수,2005,1,58.0
러시아(연방),기타,2005,1,9883.0
폴란드,관광,2005,1,203.0
폴란드,상용,2005,1,22.0
폴란드,공용,2005,1,0.0
폴란드,유학연수,2005,1,10.0
폴란드,기타,2005,1,352.0
덴마크,관광,2005,1,442.0
덴마크,상용,2005,1,40.0
덴마크,공용,2005,1,0.0
덴마크,유학연수,2005,1,1.0
덴마크,기타,2005,1,276.0
그리스,관광,2005,1,266.0
그리스,상용,2005,1,27.0
그리스,공용,2005,1,0.0
그리스,유학연수,2005,1,0.0
그리스,기타,2005,1,412.0
스위스,관광,2005,1,452.0
스위스,상용,2005,1,29.0
스위스,공용,2005,1,0.0
스위스,유학연수,2005,1,5.0
스위스,기타,2005,1,42.0
노르웨이,관광,2005,1,332.0
노르웨이,상용,2005,1,69.0
노르웨이,공용,2005,1,0.0
노르웨이,유학연수,2005,1,3.0
노르웨이,기타,2005,1,78.0
스페인,관광,2005,1,320.0
스페인,상용,2005,1,12.0
스페인,공용,2005,1,13.0
스페인,유학연수,2005,1,5.0
스페인,기타,2005,1,63.0
루마니아,관광,2005,1,117.0
루마니아,상용,2005,1,7.0
루마니아,공용,2005,1,0.0
루마니아,유학연수,2005,1,1.0
루마니아,기타,2005,1,759.0
벨기에,관광,2005,1,346.0
벨기에,상용,2005,1,32.0
벨기에,공용,2005,1,1.0
벨기에,유학연수,2005,1,2.0
벨기에,기타,2005,1,98.0
독  일,관광,2005,1,4568.0
독  일,상용,2005,1,248.0
독  일,공용,2005,1,14.0
독  일,유학연수,2005,1,21.0
독  일,기타,2005,1,1023.0
영  국,관광,2005,1,4070.0
영  국,상용,2005,1,337.0
영  국,공용,2005,1,3.0
영  국,유학연수,2005,1,11.0
영  국,기타,2005,1,875.0
프랑스,관광,2005,1,2181.0
프랑스,상용,2005,1,305.0
프랑스,공용,2005,1,33.0
프랑스,유학연수,2005,1,28.0
프랑스,기타,2005,1,793.0
네덜란드,관광,2005,1,821.0
네덜란드,상용,2005,1,49.0
네덜란드,공용,2005,1,1.0
네덜란드,유학연수,2005,1,6.0
네덜란드,기타,2005,1,475.0
우크라이나,관광,2005,1,266.0
우크라이나,상용,2005,1,11.0
우크라이나,공용,2005,1,1.0
우크라이나,유학연수,2005,1,1.0
우크라이나,기타,2005,1,992.0
이탈리아,관광,2005,1,775.0
이탈리아,상용,2005,1,36.0
이탈리아,공용,2005,1,11.0
이탈리아,유학연수,2005,1,8.0
이탈리아,기타,2005,1,122.0
불가리아,관광,2005,1,179.0
불가리아,상용,2005,1,5.0
불가리아,공용,2005,1,2.0
불가리아,유학연수,2005,1,0.0
불가리아,기타,2005,1,753.0
스웨덴,관광,2005,1,537.0
스웨덴,상용,2005,1,42.0
스웨덴,공용,2005,1,3.0
스웨덴,유학연수,2005,1,1.0
스웨덴,기타,2005,1,101.0
오스트레일리아,관광,2005,1,3306.0
오스트레일리아,상용,2005,1,287.0
오스트레일리아,공용,2005,1,17.0
오스트레일리아,유학연수,2005,1,7.0
오스트레일리아,기타,2005,1,745.0
뉴질랜드,관광,2005,1,1048.0
뉴질랜드,상용,2005,1,21.0
뉴질랜드,공용,2005,1,2.0
뉴질랜드,유학연수,2005,1,2.0
뉴질랜드,기타,2005,1,301.0
키리바시,관광,2005,1,7.0
키리바시,상용,2005,1,0.0
키리바시,공용,2005,1,0.0
키리바시,유학연수,2005,1,0.0
키리바시,기타,2005,1,149.0
피  지,관광,2005,1,175.0
피  지,상용,2005,1,0.0
피  지,공용,2005,1,0.0
피  지,유학연수,2005,1,0.0
피  지,기타,2005,1,2.0
남아프리카 공화국,관광,2005,1,140.0
남아프리카 공화국,상용,2005,1,14.0
남아프리카 공화국,공용,2005,1,0.0
남아프리카 공화국,유학연수,2005,1,2.0
남아프리카 공화국,기타,2005,1,200.0
나이지리아,관광,2005,1,58.0
나이지리아,상용,2005,1,103.0
나이지리아,공용,2005,1,0.0
나이지리아,유학연수,2005,1,1.0
나이지리아,기타,2005,1,15.0
이집트,관광,2005,1,26.0
이집트,상용,2005,1,37.0
이집트,공용,2005,1,2.0
이집트,유학연수,2005,1,0.0
이집트,기타,2005,1,73.0
일  본,관광,2005,2,191921.0
일  본,상용,2005,2,3761.0
일  본,공용,2005,2,109.0
일  본,유학연수,2005,2,852.0
일  본,기타,2005,2,3311.0
인  도,관광,2005,2,940.0
인  도,상용,2005,2,967.0
인  도,공용,2005,2,2.0
인  도,유학연수,2005,2,72.0
인  도,기타,2005,2,2035.0
베트남,관광,2005,2,508.0
베트남,상용,2005,2,112.0
베트남,공용,2005,2,4.0
베트남,유학연수,2005,2,315.0
베트남,기타,2005,2,2089.0
미얀마,관광,2005,2,265.0
미얀마,상용,2005,2,14.0
미얀마,공용,2005,2,24.0
미얀마,유학연수,2005,2,18.0
미얀마,기타,2005,2,2088.0
몽  골,관광,2005,2,990.0
몽  골,상용,2005,2,263.0
몽  골,공용,2005,2,1.0
몽  골,유학연수,2005,2,146.0
몽  골,기타,2005,2,295.0
스리랑카,관광,2005,2,98.0
스리랑카,상용,2005,2,45.0
스리랑카,공용,2005,2,3.0
스리랑카,유학연수,2005,2,14.0
스리랑카,기타,2005,2,486.0
파키스탄,관광,2005,2,75.0
파키스탄,상용,2005,2,217.0
파키스탄,공용,2005,2,0.0
파키스탄,유학연수,2005,2,45.0
파키스탄,기타,2005,2,374.0
방글라데시,관광,2005,2,208.0
방글라데시,상용,2005,2,31.0
방글라데시,공용,2005,2,2.0
방글라데시,유학연수,2005,2,47.0
방글라데시,기타,2005,2,203.0
중  국,관광,2005,2,25401.0
중  국,상용,2005,2,5618.0
중  국,공용,2005,2,49.0
중  국,유학연수,2005,2,4812.0
중  국,기타,2005,2,20772.0
대  만,관광,2005,2,37227.0
대  만,상용,2005,2,27.0
대  만,공용,2005,2,8.0
대  만,유학연수,2005,2,81.0
대  만,기타,2005,2,807.0
필리핀,관광,2005,2,2363.0
필리핀,상용,2005,2,169.0
필리핀,공용,2005,2,51.0
필리핀,유학연수,2005,2,27.0
필리핀,기타,2005,2,13516.0
홍  콩,관광,2005,2,24564.0
홍  콩,상용,2005,2,40.0
홍  콩,공용,2005,2,0.0
홍  콩,유학연수,2005,2,15.0
홍  콩,기타,2005,2,700.0
태  국,관광,2005,2,4403.0
태  국,상용,2005,2,15.0
태  국,공용,2005,2,9.0
태  국,유학연수,2005,2,27.0
태  국,기타,2005,2,3276.0
말레이시아,관광,2005,2,5947.0
말레이시아,상용,2005,2,51.0
말레이시아,공용,2005,2,3.0
말레이시아,유학연수,2005,2,96.0
말레이시아,기타,2005,2,1316.0
싱가포르,관광,2005,2,3429.0
싱가포르,상용,2005,2,36.0
싱가포르,공용,2005,2,2.0
싱가포르,유학연수,2005,2,8.0
싱가포르,기타,2005,2,1315.0
인도네시아,관광,2005,2,1009.0
인도네시아,상용,2005,2,190.0
인도네시아,공용,2005,2,6.0
인도네시아,유학연수,2005,2,53.0
인도네시아,기타,2005,2,2782.0
우즈베키스탄,관광,2005,2,260.0
우즈베키스탄,상용,2005,2,8.0
우즈베키스탄,공용,2005,2,0.0
우즈베키스탄,유학연수,2005,2,40.0
우즈베키스탄,기타,2005,2,307.0
터  키,관광,2005,2,247.0
터  키,상용,2005,2,9.0
터  키,공용,2005,2,0.0
터  키,유학연수,2005,2,7.0
터  키,기타,2005,2,240.0
이스라엘,관광,2005,2,403.0
이스라엘,상용,2005,2,6.0
이스라엘,공용,2005,2,2.0
이스라엘,유학연수,2005,2,2.0
이스라엘,기타,2005,2,73.0
이  란,관광,2005,2,40.0
이  란,상용,2005,2,181.0
이  란,공용,2005,2,0.0
이  란,유학연수,2005,2,4.0
이  란,기타,2005,2,157.0
카자흐스탄,관광,2005,2,80.0
카자흐스탄,상용,2005,2,56.0
카자흐스탄,공용,2005,2,0.0
카자흐스탄,유학연수,2005,2,28.0
카자흐스탄,기타,2005,2,58.0
요르단,관광,2005,2,47.0
요르단,상용,2005,2,165.0
요르단,공용,2005,2,1.0
요르단,유학연수,2005,2,2.0
요르단,기타,2005,2,1.0
사우디아라비아,관광,2005,2,67.0
사우디아라비아,상용,2005,2,12.0
사우디아라비아,공용,2005,2,0.0
사우디아라비아,유학연수,2005,2,3.0
사우디아라비아,기타,2005,2,1.0
이라크,관광,2005,2,29.0
이라크,상용,2005,2,13.0
이라크,공용,2005,2,0.0
이라크,유학연수,2005,2,0.0
이라크,기타,2005,2,6.0
미  국,관광,2005,2,20419.0
미  국,상용,2005,2,1946.0
미  국,공용,2005,2,1903.0
미  국,유학연수,2005,2,265.0
미  국,기타,2005,2,7028.0
에콰도르,관광,2005,2,10.0
에콰도르,상용,2005,2,3.0
에콰도르,공용,2005,2,0.0
에콰도르,유학연수,2005,2,2.0
에콰도르,기타,2005,2,1.0
쿠  바,관광,2005,2,2.0
쿠  바,상용,2005,2,1.0
쿠  바,공용,2005,2,0.0
쿠  바,유학연수,2005,2,0.0
쿠  바,기타,2005,2,0.0
캐나다,관광,2005,2,4028.0
캐나다,상용,2005,2,104.0
캐나다,공용,2005,2,8.0
캐나다,유학연수,2005,2,21.0
캐나다,기타,2005,2,2553.0
브라질,관광,2005,2,255.0
브라질,상용,2005,2,11.0
브라질,공용,2005,2,0.0
브라질,유학연수,2005,2,1.0
브라질,기타,2005,2,113.0
멕시코,관광,2005,2,186.0
멕시코,상용,2005,2,7.0
멕시코,공용,2005,2,3.0
멕시코,유학연수,2005,2,10.0
멕시코,기타,2005,2,40.0
칠  레,관광,2005,2,75.0
칠  레,상용,2005,2,2.0
칠  레,공용,2005,2,0.0
칠  레,유학연수,2005,2,1.0
칠  레,기타,2005,2,7.0
아르헨티나,관광,2005,2,74.0
아르헨티나,상용,2005,2,7.0
아르헨티나,공용,2005,2,0.0
아르헨티나,유학연수,2005,2,5.0
아르헨티나,기타,2005,2,14.0
콜롬비아,관광,2005,2,45.0
콜롬비아,상용,2005,2,3.0
콜롬비아,공용,2005,2,3.0
콜롬비아,유학연수,2005,2,1.0
콜롬비아,기타,2005,2,27.0
페  루,관광,2005,2,50.0
페  루,상용,2005,2,1.0
페  루,공용,2005,2,0.0
페  루,유학연수,2005,2,1.0
페  루,기타,2005,2,2.0
베네수엘라,관광,2005,2,29.0
베네수엘라,상용,2005,2,0.0
베네수엘라,공용,2005,2,0.0
베네수엘라,유학연수,2005,2,1.0
베네수엘라,기타,2005,2,1.0
러시아(연방),관광,2005,2,3746.0
러시아(연방),상용,2005,2,424.0
러시아(연방),공용,2005,2,40.0
러시아(연방),유학연수,2005,2,114.0
러시아(연방),기타,2005,2,6811.0
폴란드,관광,2005,2,293.0
폴란드,상용,2005,2,7.0
폴란드,공용,2005,2,0.0
폴란드,유학연수,2005,2,4.0
폴란드,기타,2005,2,421.0
덴마크,관광,2005,2,343.0
덴마크,상용,2005,2,26.0
덴마크,공용,2005,2,0.0
덴마크,유학연수,2005,2,3.0
덴마크,기타,2005,2,162.0
그리스,관광,2005,2,201.0
그리스,상용,2005,2,22.0
그리스,공용,2005,2,0.0
그리스,유학연수,2005,2,1.0
그리스,기타,2005,2,381.0
스위스,관광,2005,2,422.0
스위스,상용,2005,2,21.0
스위스,공용,2005,2,0.0
스위스,유학연수,2005,2,17.0
스위스,기타,2005,2,45.0
노르웨이,관광,2005,2,376.0
노르웨이,상용,2005,2,42.0
노르웨이,공용,2005,2,0.0
노르웨이,유학연수,2005,2,7.0
노르웨이,기타,2005,2,101.0
스페인,관광,2005,2,312.0
스페인,상용,2005,2,11.0
스페인,공용,2005,2,7.0
스페인,유학연수,2005,2,5.0
스페인,기타,2005,2,34.0
루마니아,관광,2005,2,70.0
루마니아,상용,2005,2,5.0
루마니아,공용,2005,2,0.0
루마니아,유학연수,2005,2,5.0
루마니아,기타,2005,2,343.0
벨기에,관광,2005,2,252.0
벨기에,상용,2005,2,21.0
벨기에,공용,2005,2,1.0
벨기에,유학연수,2005,2,3.0
벨기에,기타,2005,2,68.0
독  일,관광,2005,2,3850.0
독  일,상용,2005,2,198.0
독  일,공용,2005,2,11.0
독  일,유학연수,2005,2,50.0
독  일,기타,2005,2,951.0
영  국,관광,2005,2,3690.0
영  국,상용,2005,2,266.0
영  국,공용,2005,2,8.0
영  국,유학연수,2005,2,15.0
영  국,기타,2005,2,826.0
프랑스,관광,2005,2,1803.0
프랑스,상용,2005,2,241.0
프랑스,공용,2005,2,17.0
프랑스,유학연수,2005,2,37.0
프랑스,기타,2005,2,657.0
네덜란드,관광,2005,2,678.0
네덜란드,상용,2005,2,39.0
네덜란드,공용,2005,2,0.0
네덜란드,유학연수,2005,2,17.0
네덜란드,기타,2005,2,422.0
우크라이나,관광,2005,2,199.0
우크라이나,상용,2005,2,7.0
우크라이나,공용,2005,2,1.0
우크라이나,유학연수,2005,2,11.0
우크라이나,기타,2005,2,1039.0
이탈리아,관광,2005,2,733.0
이탈리아,상용,2005,2,25.0
이탈리아,공용,2005,2,3.0
이탈리아,유학연수,2005,2,1.0
이탈리아,기타,2005,2,116.0
불가리아,관광,2005,2,87.0
불가리아,상용,2005,2,0.0
불가리아,공용,2005,2,0.0
불가리아,유학연수,2005,2,3.0
불가리아,기타,2005,2,729.0
스웨덴,관광,2005,2,473.0
스웨덴,상용,2005,2,42.0
스웨덴,공용,2005,2,2.0
스웨덴,유학연수,2005,2,17.0
스웨덴,기타,2005,2,93.0
오스트레일리아,관광,2005,2,2503.0
오스트레일리아,상용,2005,2,290.0
오스트레일리아,공용,2005,2,38.0
오스트레일리아,유학연수,2005,2,21.0
오스트레일리아,기타,2005,2,771.0
뉴질랜드,관광,2005,2,764.0
뉴질랜드,상용,2005,2,18.0
뉴질랜드,공용,2005,2,1.0
뉴질랜드,유학연수,2005,2,5.0
뉴질랜드,기타,2005,2,284.0
키리바시,관광,2005,2,25.0
키리바시,상용,2005,2,0.0
키리바시,공용,2005,2,0.0
키리바시,유학연수,2005,2,0.0
키리바시,기타,2005,2,139.0
피  지,관광,2005,2,84.0
피  지,상용,2005,2,0.0
피  지,공용,2005,2,0.0
피  지,유학연수,2005,2,0.0
피  지,기타,2005,2,7.0
남아프리카 공화국,관광,2005,2,138.0
남아프리카 공화국,상용,2005,2,10.0
남아프리카 공화국,공용,2005,2,0.0
남아프리카 공화국,유학연수,2005,2,2.0
남아프리카 공화국,기타,2005,2,136.0
나이지리아,관광,2005,2,45.0
나이지리아,상용,2005,2,94.0
나이지리아,공용,2005,2,8.0
나이지리아,유학연수,2005,2,3.0
나이지리아,기타,2005,2,23.0
이집트,관광,2005,2,89.0
이집트,상용,2005,2,36.0
이집트,공용,2005,2,2.0
이집트,유학연수,2005,2,4.0
이집트,기타,2005,2,89.0
일  본,관광,2005,3,244309.0
일  본,상용,2005,3,3747.0
일  본,공용,2005,3,151.0
일  본,유학연수,2005,3,493.0
일  본,기타,2005,3,3019.0
인  도,관광,2005,3,1002.0
인  도,상용,2005,3,1431.0
인  도,공용,2005,3,8.0
인  도,유학연수,2005,3,42.0
인  도,기타,2005,3,2111.0
베트남,관광,2005,3,711.0
베트남,상용,2005,3,238.0
베트남,공용,2005,3,1.0
베트남,유학연수,2005,3,151.0
베트남,기타,2005,3,1848.0
미얀마,관광,2005,3,273.0
미얀마,상용,2005,3,36.0
미얀마,공용,2005,3,5.0
미얀마,유학연수,2005,3,32.0
미얀마,기타,2005,3,2441.0
몽  골,관광,2005,3,840.0
몽  골,상용,2005,3,358.0
몽  골,공용,2005,3,2.0
몽  골,유학연수,2005,3,71.0
몽  골,기타,2005,3,220.0
스리랑카,관광,2005,3,71.0
스리랑카,상용,2005,3,42.0
스리랑카,공용,2005,3,1.0
스리랑카,유학연수,2005,3,10.0
스리랑카,기타,2005,3,538.0
파키스탄,관광,2005,3,164.0
파키스탄,상용,2005,3,246.0
파키스탄,공용,2005,3,11.0
파키스탄,유학연수,2005,3,10.0
파키스탄,기타,2005,3,216.0
방글라데시,관광,2005,3,341.0
방글라데시,상용,2005,3,63.0
방글라데시,공용,2005,3,11.0
방글라데시,유학연수,2005,3,27.0
방글라데시,기타,2005,3,138.0
중  국,관광,2005,3,14750.0
중  국,상용,2005,3,8872.0
중  국,공용,2005,3,65.0
중  국,유학연수,2005,3,2863.0
중  국,기타,2005,3,22211.0
대  만,관광,2005,3,22656.0
대  만,상용,2005,3,43.0
대  만,공용,2005,3,9.0
대  만,유학연수,2005,3,27.0
대  만,기타,2005,3,562.0
필리핀,관광,2005,3,3574.0
필리핀,상용,2005,3,223.0
필리핀,공용,2005,3,76.0
필리핀,유학연수,2005,3,25.0
필리핀,기타,2005,3,15023.0
홍  콩,관광,2005,3,14865.0
홍  콩,상용,2005,3,27.0
홍  콩,공용,2005,3,1.0
홍  콩,유학연수,2005,3,2.0
홍  콩,기타,2005,3,744.0
태  국,관광,2005,3,7819.0
태  국,상용,2005,3,16.0
태  국,공용,2005,3,62.0
태  국,유학연수,2005,3,10.0
태  국,기타,2005,3,3462.0
말레이시아,관광,2005,3,5414.0
말레이시아,상용,2005,3,35.0
말레이시아,공용,2005,3,5.0
말레이시아,유학연수,2005,3,19.0
말레이시아,기타,2005,3,1328.0
싱가포르,관광,2005,3,4415.0
싱가포르,상용,2005,3,30.0
싱가포르,공용,2005,3,4.0
싱가포르,유학연수,2005,3,0.0
싱가포르,기타,2005,3,1446.0
인도네시아,관광,2005,3,1306.0
인도네시아,상용,2005,3,246.0
인도네시아,공용,2005,3,7.0
인도네시아,유학연수,2005,3,19.0
인도네시아,기타,2005,3,2774.0
우즈베키스탄,관광,2005,3,422.0
우즈베키스탄,상용,2005,3,11.0
우즈베키스탄,공용,2005,3,9.0
우즈베키스탄,유학연수,2005,3,26.0
우즈베키스탄,기타,2005,3,228.0
터  키,관광,2005,3,381.0
터  키,상용,2005,3,6.0
터  키,공용,2005,3,0.0
터  키,유학연수,2005,3,2.0
터  키,기타,2005,3,272.0
이스라엘,관광,2005,3,525.0
이스라엘,상용,2005,3,7.0
이스라엘,공용,2005,3,0.0
이스라엘,유학연수,2005,3,2.0
이스라엘,기타,2005,3,95.0
이  란,관광,2005,3,87.0
이  란,상용,2005,3,301.0
이  란,공용,2005,3,1.0
이  란,유학연수,2005,3,1.0
이  란,기타,2005,3,196.0
카자흐스탄,관광,2005,3,70.0
카자흐스탄,상용,2005,3,63.0
카자흐스탄,공용,2005,3,10.0
카자흐스탄,유학연수,2005,3,14.0
카자흐스탄,기타,2005,3,77.0
요르단,관광,2005,3,15.0
요르단,상용,2005,3,199.0
요르단,공용,2005,3,0.0
요르단,유학연수,2005,3,0.0
요르단,기타,2005,3,4.0
사우디아라비아,관광,2005,3,64.0
사우디아라비아,상용,2005,3,26.0
사우디아라비아,공용,2005,3,0.0
사우디아라비아,유학연수,2005,3,11.0
사우디아라비아,기타,2005,3,4.0
이라크,관광,2005,3,50.0
이라크,상용,2005,3,50.0
이라크,공용,2005,3,0.0
이라크,유학연수,2005,3,1.0
이라크,기타,2005,3,4.0
미  국,관광,2005,3,31232.0
미  국,상용,2005,3,2553.0
미  국,공용,2005,3,1660.0
미  국,유학연수,2005,3,67.0
미  국,기타,2005,3,6544.0
에콰도르,관광,2005,3,16.0
에콰도르,상용,2005,3,0.0
에콰도르,공용,2005,3,0.0
에콰도르,유학연수,2005,3,2.0
에콰도르,기타,2005,3,20.0
쿠  바,관광,2005,3,3.0
쿠  바,상용,2005,3,4.0
쿠  바,공용,2005,3,1.0
쿠  바,유학연수,2005,3,0.0
쿠  바,기타,2005,3,1.0
캐나다,관광,2005,3,5419.0
캐나다,상용,2005,3,126.0
캐나다,공용,2005,3,6.0
캐나다,유학연수,2005,3,4.0
캐나다,기타,2005,3,1613.0
브라질,관광,2005,3,338.0
브라질,상용,2005,3,8.0
브라질,공용,2005,3,0.0
브라질,유학연수,2005,3,5.0
브라질,기타,2005,3,105.0
멕시코,관광,2005,3,342.0
멕시코,상용,2005,3,20.0
멕시코,공용,2005,3,0.0
멕시코,유학연수,2005,3,1.0
멕시코,기타,2005,3,42.0
칠  레,관광,2005,3,77.0
칠  레,상용,2005,3,0.0
칠  레,공용,2005,3,0.0
칠  레,유학연수,2005,3,1.0
칠  레,기타,2005,3,43.0
아르헨티나,관광,2005,3,91.0
아르헨티나,상용,2005,3,3.0
아르헨티나,공용,2005,3,0.0
아르헨티나,유학연수,2005,3,2.0
아르헨티나,기타,2005,3,37.0
콜롬비아,관광,2005,3,89.0
콜롬비아,상용,2005,3,3.0
콜롬비아,공용,2005,3,0.0
콜롬비아,유학연수,2005,3,2.0
콜롬비아,기타,2005,3,36.0
페  루,관광,2005,3,92.0
페  루,상용,2005,3,1.0
페  루,공용,2005,3,1.0
페  루,유학연수,2005,3,3.0
페  루,기타,2005,3,8.0
베네수엘라,관광,2005,3,35.0
베네수엘라,상용,2005,3,1.0
베네수엘라,공용,2005,3,0.0
베네수엘라,유학연수,2005,3,1.0
베네수엘라,기타,2005,3,6.0
러시아(연방),관광,2005,3,3742.0
러시아(연방),상용,2005,3,552.0
러시아(연방),공용,2005,3,63.0
러시아(연방),유학연수,2005,3,60.0
러시아(연방),기타,2005,3,8591.0
폴란드,관광,2005,3,261.0
폴란드,상용,2005,3,12.0
폴란드,공용,2005,3,1.0
폴란드,유학연수,2005,3,2.0
폴란드,기타,2005,3,472.0
덴마크,관광,2005,3,470.0
덴마크,상용,2005,3,16.0
