월,총합,공용,상용,관광,유학연수,관광_비율
2025-06,321539,279,2981,305097,13182,94.9%
2025-07,314389,209,2386,301908,9886,96.0%
2025-08,339171,158,2032,324624,12357,95.7%
2025-09,301997,197,2333,285619,13848,94.6%
2025-10,302231,265,2242,290723,9001,96.2%
2025-11,248311,241,2066,240154,5850,96.7%
2025-12,246719,170,1763,237654,7132,96.3%
