국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
대만,공용,94,47,35,0,"3,000",↓,양호,0,"4,500",↓,양호,0.3444,0.60,↓,미흡,31.3%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.036950,0.035461,0.137031,0.152881,0.036950,0.031807,예,0.000700,20250720_212054
대만,관광,96,48,41,1,"3,000",↓,양호,1,"4,500",↓,양호,0.7467,0.60,↑,양호,17.2%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.024966,0.069210,0.104400,0.171407,0.018098,0.031963,예,0.000700,20250720_212054
대만,상용,94,47,41,0,"3,000",↓,양호,0,"4,500",↓,양호,-0.5382,0.60,↓,미흡,13.4%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.009685,0.023908,0.057388,0.120275,0.009331,0.020470,예,0.000700,20250720_212054
대만,유학연수,94,47,48,0,"3,000",↓,양호,0,"4,500",↓,양호,0.1690,0.60,↓,미흡,15.0%,150.0%,↓,양호,0.000,1.35,↓,미흡,0.036608,0.036593,0.156883,0.154635,0.032761,0.035762,예,0.000700,20250720_212054
