월,총합,공용,상용,관광,유학연수,관광_비율
2025-06,23,2,4,11,6,47.8%
2025-07,21,2,3,11,5,52.4%
2025-08,22,2,4,11,5,50.0%
2025-09,22,2,4,11,5,50.0%
2025-10,19,2,4,9,4,47.4%
2025-11,23,2,4,12,5,52.2%
2025-12,23,2,4,12,5,52.2%
