국적,목적,MAE,RMSE,MAPE
중국,관광,36196.23,57190.82,397.8
중국,유학연수,4606.7,6614.61,121.33
중국,공용,69.37,97.28,205.32
중국,상용,1101.39,2005.71,50.52
