월,총합,공용,상용,관광,유학연수,관광_비율
2025-08,33,5,7,12,9,36.4%
2025-09,32,5,6,12,9,37.5%
2025-10,31,5,7,11,8,35.5%
2025-11,33,5,7,12,9,36.4%
2025-12,31,4,7,11,9,35.5%
2026-01,33,5,7,12,9,36.4%
2026-02,33,5,7,12,9,36.4%
