월,총합,공용,관광,상용,유학연수,관광_비율
2025-06,414575,392,392257,3912,18014,94.6%
2025-07,408033,334,388969,3955,14775,95.3%
2025-08,408755,286,382293,4408,21768,93.5%
2025-09,365577,320,342628,4051,18578,93.7%
2025-10,310059,389,290298,4868,14504,93.6%
2025-11,250527,364,232238,4577,13348,92.7%
2025-12,205675,348,185790,4062,15475,90.3%
2026-01,181496,212,166023,3607,11654,91.5%
2026-02,158893,147,135889,3968,18889,85.5%
2026-03,177206,110,160211,4314,12571,90.4%
2026-04,200792,100,189215,4343,7134,94.2%
2026-05,196301,80,187045,3577,5599,95.3%
2026-06,180381,70,170058,5317,4936,94.3%
