국적,목적,데이터크기,학습에포크,최종학습손실,최종학습MAE,최고학습손실,최고학습MAE,검증데이터유무,최종검증손실,최종검증MAE,최고검증손실,최고검증MAE,손실개선률,MAE개선률,수렴속도,생성시간
중국,공용,245,51,0.031623,0.136888,0.027049,0.126712,있음,0.017000,0.094064,0.015976,0.094064,98.9%,89.6%,0.51,20250717_132642
중국,상용,245,15,0.083697,0.232486,0.083697,0.232486,있음,0.003485,0.051387,0.000962,0.023593,96.1%,79.6%,0.15,20250717_135149
중국,유학연수,245,48,0.031430,0.128572,0.031430,0.128572,있음,0.054620,0.158373,0.053672,0.158373,98.7%,89.7%,0.48,20250717_135205
