국적,목적,학습샘플수,검증샘플수,학습에포크,MAE_실제값,MAE_기준값,MAE_달성여부,MAE_등급,RMSE_실제값,RMSE_기준값,RMSE_달성여부,RMSE_등급,R2_실제값,R2_기준값,R2_달성여부,R2_등급,MAPE_실제값,MAPE_기준값,MAPE_달성여부,MAPE_등급,F1_실제값,F1_기준값,F1_달성여부,F1_등급,최종학습손실,최종검증손실,최종학습MAE,최종검증MAE,최고학습손실,최고검증손실,조기종료여부,학습률,생성시간
중국,중국_공용,198,35,51,78,"1,000",↓,우수,101,"1,500",↓,우수,0.5759,0.20,↑,우수,64.4%,50.0%,↑,개선필요,0.733,0.45,↑,우수,0.031623,0.017000,0.136888,0.094064,0.027049,0.015976,예,0.001000,20250717_132642
중국,중국_상용,198,35,15,588,"1,000",↓,우수,773,"1,500",↓,우수,0.4530,0.20,↑,우수,41.4%,50.0%,↓,양호,0.851,0.45,↑,우수,0.083697,0.003485,0.232486,0.051387,0.083697,0.000962,예,0.001000,20250717_135149
중국,중국_유학연수,198,35,48,"7,680","1,000",↑,심각,"10,607","1,500",↑,심각,0.2371,0.20,↑,양호,69.2%,50.0%,↑,심각,0.640,0.45,↑,우수,0.031430,0.054620,0.128572,0.158373,0.031430,0.053672,예,0.001000,20250717_135206
